"Statistic","CensusYear","Sex","Travelling Time","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","779"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","All persons","Number","32665"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","Population aged 15 years and over at work","Number","27553"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","418"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","2393"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","2301"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","All persons","Number","43956"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","Population aged 15 years and over at work","Number","32678"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","1160"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","5276"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","4842"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","All persons","Number","33508"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","Population aged 15 years and over at work","Number","25644"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","1416"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","2174"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","4274"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","All persons","Number","10466"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","Population aged 15 years and over at work","Number","8167"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","418"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","267"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","1614"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","All persons","Number","4806"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","Population aged 15 years and over at work","Number","3632"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","74"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","84"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","1016"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","After 09:30","All persons","Number","10257"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","After 09:30","Population aged 15 years and over at work","Number","8643"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","After 09:30","Children at school aged between 5 and 12 years","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","111"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","After 09:30","Students at school or college aged 19 years and over","Number","1497"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","Not stated","All persons","Number","825"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","Not stated","Population aged 15 years and over at work","Number","692"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","Not stated","Children at school aged between 5 and 12 years","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","Not stated","Students at school or college aged between 13 and 18 years","Number","33"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","¾ hour - < 1 hour","Not stated","Students at school or college aged 19 years and over","Number","87"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","All departure times","All persons","Number","179233"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","All departure times","Population aged 15 years and over at work","Number","147124"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","All departure times","Children at school aged between 5 and 12 years","Number","2870"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","All departure times","Students at school or college aged between 13 and 18 years","Number","7614"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","All departure times","Students at school or college aged 19 years and over","Number","21625"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Before 06:30","All persons","Number","23226"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Before 06:30","Population aged 15 years and over at work","Number","22567"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Before 06:30","Children at school aged between 5 and 12 years","Number","43"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Before 06:30","Students at school or college aged between 13 and 18 years","Number","79"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Before 06:30","Students at school or college aged 19 years and over","Number","537"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","06:30 - 07:00","All persons","Number","34629"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","06:30 - 07:00","Population aged 15 years and over at work","Number","31590"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","164"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","694"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","06:30 - 07:00","Students at school or college aged 19 years and over","Number","2181"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:01 - 07:30","All persons","Number","37246"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:01 - 07:30","Population aged 15 years and over at work","Number","29674"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","421"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","2366"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:01 - 07:30","Students at school or college aged 19 years and over","Number","4785"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:31 - 08:00","All persons","Number","40385"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:31 - 08:00","Population aged 15 years and over at work","Number","30452"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","922"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","2898"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","07:31 - 08:00","Students at school or college aged 19 years and over","Number","6113"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:01 - 08:30","All persons","Number","20515"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:01 - 08:30","Population aged 15 years and over at work","Number","15178"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","741"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","1004"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:01 - 08:30","Students at school or college aged 19 years and over","Number","3592"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:31 - 09:00","All persons","Number","8614"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:31 - 09:00","Population aged 15 years and over at work","Number","6175"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","429"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","341"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","08:31 - 09:00","Students at school or college aged 19 years and over","Number","1669"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","09:01 - 09:30","All persons","Number","3949"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","09:01 - 09:30","Population aged 15 years and over at work","Number","2844"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","120"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","75"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","09:01 - 09:30","Students at school or college aged 19 years and over","Number","910"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","After 09:30","All persons","Number","9785"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","After 09:30","Population aged 15 years and over at work","Number","7950"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","After 09:30","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","After 09:30","Students at school or college aged between 13 and 18 years","Number","109"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","After 09:30","Students at school or college aged 19 years and over","Number","1721"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Not stated","All persons","Number","884"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Not stated","Population aged 15 years and over at work","Number","694"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Not stated","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Not stated","Students at school or college aged between 13 and 18 years","Number","48"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1 hour - < 1½ hours","Not stated","Students at school or college aged 19 years and over","Number","117"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","All departure times","All persons","Number","67066"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","All departure times","Population aged 15 years and over at work","Number","52798"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","All departure times","Children at school aged between 5 and 12 years","Number","770"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","All departure times","Students at school or college aged between 13 and 18 years","Number","2098"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","All departure times","Students at school or college aged 19 years and over","Number","11400"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Before 06:30","All persons","Number","19212"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Before 06:30","Population aged 15 years and over at work","Number","17948"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Before 06:30","Children at school aged between 5 and 12 years","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Before 06:30","Students at school or college aged between 13 and 18 years","Number","148"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Before 06:30","Students at school or college aged 19 years and over","Number","1102"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","06:30 - 07:00","All persons","Number","16004"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","06:30 - 07:00","Population aged 15 years and over at work","Number","12829"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","69"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","460"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","06:30 - 07:00","Students at school or college aged 19 years and over","Number","2646"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:01 - 07:30","All persons","Number","12219"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:01 - 07:30","Population aged 15 years and over at work","Number","8719"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","147"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","589"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:01 - 07:30","Students at school or college aged 19 years and over","Number","2764"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:31 - 08:00","All persons","Number","7727"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:31 - 08:00","Population aged 15 years and over at work","Number","5418"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","144"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","381"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","07:31 - 08:00","Students at school or college aged 19 years and over","Number","1784"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:01 - 08:30","All persons","Number","4322"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:01 - 08:30","Population aged 15 years and over at work","Number","2817"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","129"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","250"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:01 - 08:30","Students at school or college aged 19 years and over","Number","1126"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:31 - 09:00","All persons","Number","2287"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:31 - 09:00","Population aged 15 years and over at work","Number","1307"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","187"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","105"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","08:31 - 09:00","Students at school or college aged 19 years and over","Number","688"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","09:01 - 09:30","All persons","Number","1062"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","09:01 - 09:30","Population aged 15 years and over at work","Number","619"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","68"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","09:01 - 09:30","Students at school or college aged 19 years and over","Number","339"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","After 09:30","All persons","Number","3791"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","After 09:30","Population aged 15 years and over at work","Number","2840"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","After 09:30","Children at school aged between 5 and 12 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","After 09:30","Students at school or college aged between 13 and 18 years","Number","101"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","After 09:30","Students at school or college aged 19 years and over","Number","846"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Not stated","All persons","Number","442"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Not stated","Population aged 15 years and over at work","Number","301"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Not stated","Children at school aged between 5 and 12 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Not stated","Students at school or college aged between 13 and 18 years","Number","28"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","1½ hours and over","Not stated","Students at school or college aged 19 years and over","Number","105"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","All departure times","All persons","Number","219899"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","All departure times","Population aged 15 years and over at work","Number","155770"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","All departure times","Children at school aged between 5 and 12 years","Number","34700"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","All departure times","Students at school or college aged between 13 and 18 years","Number","18003"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","All departure times","Students at school or college aged 19 years and over","Number","11426"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Before 06:30","All persons","Number","7238"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Before 06:30","Population aged 15 years and over at work","Number","7020"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Before 06:30","Children at school aged between 5 and 12 years","Number","43"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Before 06:30","Students at school or college aged between 13 and 18 years","Number","47"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Before 06:30","Students at school or college aged 19 years and over","Number","128"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","06:30 - 07:00","All persons","Number","8408"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","06:30 - 07:00","Population aged 15 years and over at work","Number","7860"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","92"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","151"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","06:30 - 07:00","Students at school or college aged 19 years and over","Number","305"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:01 - 07:30","All persons","Number","8899"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:01 - 07:30","Population aged 15 years and over at work","Number","7592"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","270"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","548"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:01 - 07:30","Students at school or college aged 19 years and over","Number","489"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:31 - 08:00","All persons","Number","12567"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:31 - 08:00","Population aged 15 years and over at work","Number","9064"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","820"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","1893"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","07:31 - 08:00","Students at school or college aged 19 years and over","Number","790"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:01 - 08:30","All persons","Number","16091"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:01 - 08:30","Population aged 15 years and over at work","Number","8217"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","3391"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","3355"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:01 - 08:30","Students at school or college aged 19 years and over","Number","1128"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:31 - 09:00","All persons","Number","15292"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:31 - 09:00","Population aged 15 years and over at work","Number","6038"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","5990"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","2140"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","08:31 - 09:00","Students at school or college aged 19 years and over","Number","1124"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","09:01 - 09:30","All persons","Number","6399"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","09:01 - 09:30","Population aged 15 years and over at work","Number","3589"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","2106"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","225"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","09:01 - 09:30","Students at school or college aged 19 years and over","Number","479"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","After 09:30","All persons","Number","8410"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","After 09:30","Population aged 15 years and over at work","Number","7826"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","After 09:30","Children at school aged between 5 and 12 years","Number","55"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","After 09:30","Students at school or college aged between 13 and 18 years","Number","70"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","After 09:30","Students at school or college aged 19 years and over","Number","459"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Not stated","All persons","Number","136595"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Not stated","Population aged 15 years and over at work","Number","98564"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Not stated","Children at school aged between 5 and 12 years","Number","21933"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Not stated","Students at school or college aged between 13 and 18 years","Number","9574"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Not stated","Not stated","Students at school or college aged 19 years and over","Number","6524"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","All departure times","All persons","Number","1541456"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","All departure times","Population aged 15 years and over at work","Number","991957"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","All departure times","Children at school aged between 5 and 12 years","Number","279518"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","All departure times","Students at school or college aged between 13 and 18 years","Number","177739"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","All departure times","Students at school or college aged 19 years and over","Number","92242"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Before 06:30","All persons","Number","123302"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Before 06:30","Population aged 15 years and over at work","Number","121576"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Before 06:30","Children at school aged between 5 and 12 years","Number","162"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Before 06:30","Students at school or college aged between 13 and 18 years","Number","274"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Before 06:30","Students at school or college aged 19 years and over","Number","1290"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","06:30 - 07:00","All persons","Number","132898"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","06:30 - 07:00","Population aged 15 years and over at work","Number","127126"
