"Statistic","CensusYear","Towns with a Population of over 1,500","UNIT","VALUE"
"Daytime working population (E=B+D)","2016","Wicklow","Number","2637"
"Daytime working population (E=B+D)","2016","Tramore","Number","1628"
"Daytime working population (E=B+D)","2016","Cavan","Number","5432"
"Daytime working population (E=B+D)","2016","Athy","Number","2147"
"Daytime working population (E=B+D)","2016","Shannon","Number","4484"
"Daytime working population (E=B+D)","2016","Skerries","Number","1433"
"Daytime working population (E=B+D)","2016","Longford","Number","5050"
"Daytime working population (E=B+D)","2016","Dungarvan","Number","3267"
"Daytime working population (E=B+D)","2016","Portmarnock","Number","946"
"Daytime working population (E=B+D)","2016","Rush","Number","1063"
"Daytime working population (E=B+D)","2016","Gorey","Number","3529"
"Daytime working population (E=B+D)","2016","Ratoath","Number","922"
"Daytime working population (E=B+D)","2016","Nenagh","Number","4357"
"Daytime working population (E=B+D)","2016","Trim","Number","2501"
"Daytime working population (E=B+D)","2016","Tuam","Number","3700"
"Daytime working population (E=B+D)","2016","New Ross","Number","3125"
"Daytime working population (E=B+D)","2016","Kildare","Number","2166"
"Daytime working population (E=B+D)","2016","Thurles","Number","3396"
"Daytime working population (E=B+D)","2016","Youghal","Number","1768"
"Daytime working population (E=B+D)","2016","Portarlington","Number","1349"
"Daytime working population (E=B+D)","2016","Monaghan","Number","3715"
"Daytime working population (E=B+D)","2016","Lusk","Number","570"
"Daytime working population (E=B+D)","2016","Edenderry","Number","1743"
"Daytime working population (E=B+D)","2016","Dunboyne","Number","1211"
"Daytime working population (E=B+D)","2016","Buncrana","Number","1988"
"Daytime working population (E=B+D)","2016","Donabate","Number","732"
"Daytime working population (E=B+D)","2016","Clane","Number","1264"
"Daytime working population (E=B+D)","2016","Ballinasloe","Number","3045"
"Daytime working population (E=B+D)","2016","Bandon","Number","2334"
"Daytime working population (E=B+D)","2016","Fermoy","Number","2168"
"Daytime working population (E=B+D)","2016","Newcastle West","Number","2413"
"Daytime working population (E=B+D)","2016","Westport","Number","4142"
"Daytime working population (E=B+D)","2016","Carrick-on-Suir","Number","1217"
"Daytime working population (E=B+D)","2016","Kells (Ceanannas)","Number","1543"
"Daytime working population (E=B+D)","2016","Birr","Number","1524"
"Daytime working population (E=B+D)","2016","Kinsealy-Drinan","Number","652"
"Daytime working population (E=B+D)","2016","Passage West","Number","446"
"Daytime working population (E=B+D)","2016","Roscommon","Number","3917"
"Daytime working population (E=B+D)","2016","Kilcock","Number","848"
"Daytime working population (E=B+D)","2016","Roscrea","Number","1798"
"Daytime working population (E=B+D)","2016","Tipperary","Number","2110"
"Daytime working population (E=B+D)","2016","Sallins","Number","418"
"Daytime working population (E=B+D)","2016","Loughrea","Number","2225"
"Daytime working population (E=B+D)","2016","Blessington","Number","1125"
"Daytime working population (E=B+D)","2016","Ardee","Number","1706"
"Daytime working population (E=B+D)","2016","Carrickmacross","Number","1962"
"Daytime working population (E=B+D)","2016","Kinsale","Number","1737"
"Daytime working population (E=B+D)","2016","Ballybofey-Stranorlar","Number","1878"
"Daytime working population (E=B+D)","2016","Listowel","Number","2029"
"Daytime working population (E=B+D)","2016","Oranmore","Number","1134"
"Daytime working population (E=B+D)","2016","Mountmellick","Number","915"
"Daytime working population (E=B+D)","2016","Clonakilty","Number","2376"
"Daytime working population (E=B+D)","2016","Carrigtwohill","Number","931"
"Daytime working population (E=B+D)","2016","Cashel","Number","1818"
"Daytime working population (E=B+D)","2016","Kilcoole","Number","946"
"Daytime working population (E=B+D)","2016","Duleek","Number","501"
"Daytime working population (E=B+D)","2016","Carrick-on-Shannon","Number","2868"
"Daytime working population (E=B+D)","2016","Tullow","Number","1236"
"Daytime working population (E=B+D)","2016","Athenry","Number","1450"
"Daytime working population (E=B+D)","2016","Dunshaughlin","Number","998"
"Daytime working population (E=B+D)","2016","Macroom","Number","1548"
"Daytime working population (E=B+D)","2016","Monasterevin","Number","956"
"Daytime working population (E=B+D)","2016","Mitchelstown","Number","1480"
"Daytime working population (E=B+D)","2016","Rathluirc (or Charleville)","Number","2249"
"Daytime working population (E=B+D)","2016","Castleblayney","Number","1502"
"Daytime working population (E=B+D)","2016","Cahir","Number","1219"
"Daytime working population (E=B+D)","2016","Kilcullen","Number","907"
"Daytime working population (E=B+D)","2016","Rathcoole","Number","897"
"Daytime working population (E=B+D)","2016","Claremorris","Number","1411"
"Daytime working population (E=B+D)","2016","Bantry","Number","1748"
"Daytime working population (E=B+D)","2016","Tower","Number","296"
"Daytime working population (E=B+D)","2016","Clara","Number","525"
"Daytime working population (E=B+D)","2016","Stamullen","Number","425"
"Daytime working population (E=B+D)","2016","Kill","Number","306"
"Daytime working population (E=B+D)","2016","Rathnew","Number","575"
"Daytime working population (E=B+D)","2016","Muinebeag","Number","1481"
"Daytime working population (E=B+D)","2016","Enfield","Number","469"
"Daytime working population (E=B+D)","2016","Courtown Harbour","Number","310"
"Daytime working population (E=B+D)","2016","Annacotty","Number","846"
"Daytime working population (E=B+D)","2016","Moate","Number","559"
"Daytime working population (E=B+D)","2016","Ballinrobe","Number","1077"
"Daytime working population (E=B+D)","2016","Kilrush","Number","1198"
"Daytime working population (E=B+D)","2016","Skibbereen","Number","1580"
"Daytime working population (E=B+D)","2016","Kinnegad","Number","398"
"Daytime working population (E=B+D)","2016","Newcastle","Number","310"
"Daytime working population (E=B+D)","2016","Gort","Number","1127"
"Daytime working population (E=B+D)","2016","Donegal","Number","1673"
"Daytime working population (E=B+D)","2016","Boyle","Number","1049"
"Daytime working population (E=B+D)","2016","Ballyjamesduff","Number","453"
"Daytime working population (E=B+D)","2016","Carndonagh","Number","1062"
"Daytime working population (E=B+D)","2016","Bailieborough","Number","715"
"Daytime working population (E=B+D)","2016","Castleisland","Number","1351"
"Daytime working population (E=B+D)","2016","Sixmilebridge","Number","226"
"Daytime working population (E=B+D)","2016","Ballyshannon","Number","875"
"Daytime working population (E=B+D)","2016","Ballina (North Tipperary)","Number","311"
"Daytime working population (E=B+D)","2016","Blarney","Number","672"
"Daytime working population (E=B+D)","2016","Newtownmountkennedy","Number","916"
"Daytime working population (E=B+D)","2016","Athboy","Number","489"
"Daytime working population (E=B+D)","2016","Rathangan","Number","448"
"Daytime working population (E=B+D)","2016","Callan","Number","889"
"Daytime working population (E=B+D)","2016","Kingscourt","Number","602"
"Daytime working population (E=B+D)","2016","Ballyhaunis","Number","1226"
"Daytime working population (E=B+D)","2016","Virginia","Number","640"
"Daytime working population (E=B+D)","2016","Thomastown","Number","633"
"Daytime working population (E=B+D)","2016","Kanturk","Number","829"
"Daytime working population (E=B+D)","2016","Prosperous","Number","307"
"Daytime working population (E=B+D)","2016","Kenmare","Number","1003"
"Daytime working population (E=B+D)","2016","Saggart","Number","308"
"Daytime working population (E=B+D)","2016","Bundoran","Number","588"
"Daytime working population (E=B+D)","2016","Cootehill","Number","902"
"Daytime working population (E=B+D)","2016","Crosshaven","Number","321"
"Daytime working population (E=B+D)","2016","Killorglin","Number","2038"
"Daytime working population (E=B+D)","2016","Templemore","Number","1094"
"Daytime working population (E=B+D)","2016","Baltinglass","Number","629"
"Daytime working population (E=B+D)","2016","Clifden","Number","856"
"Daytime working population (E=B+D)","2016","Bunclody-Carrickduff","Number","646"
"Daytime working population (E=B+D)","2016","Abbeyfeale","Number","1354"
"Daytime working population (E=B+D)","2016","Clogherhead","Number","150"
"Daytime working population (E=B+D)","2016","Castlerea","Number","918"
"Daytime working population (E=B+D)","2016","An Daingean","Number","1313"
"Daytime working population (E=B+D)","2016","Castleconnell","Number","246"
"Daytime working population (E=B+D)","2016","Bearna","Number","388"
"Daytime working population (E=B+D)","2016","Balrothery","Number","148"
"Daytime working population (E=B+D)","2016","Abbeyleix","Number","501"
"Daytime working population (E=B+D)","2016","Ballaghaderreen","Number","267"
"Daytime working population (E=B+D)","2016","Enniskerry","Number","241"
"Daytime working population (E=B+D)","2016","Newport","Number","331"
"Daytime working population (E=B+D)","2016","Dunleer","Number","822"
"Daytime working population (E=B+D)","2016","Newmarket-on-Fergus","Number","207"
"Daytime working population (E=B+D)","2016","Clones","Number","415"
"Daytime working population (E=B+D)","2016","Tubbercurry","Number","627"
"Daytime working population (E=B+D)","2016","Edgeworthstown","Number","502"
"Daytime working population (E=B+D)","2016","Ballivor","Number","155"
"Daytime working population (E=B+D)","2016","Castlebridge","Number","190"
"Daytime working population (E=B+D)","2016","Portlaw","Number","148"
"Daytime working population (E=B+D)","2016","Mountrath","Number","367"
"Daytime working population (E=B+D)","2016","Lifford","Number","766"
"Daytime working population (E=B+D)","2016","Banagher","Number","520"
"Daytime working population (E=B+D)","2016","Kilmallock","Number","722"
"Daytime working population (E=B+D)","2016","Strandhill","Number","281"
"Daytime working population (E=B+D)","2016","Rathdrum","Number","465"
"Daytime working population (E=B+D)","2016","Dunmanway","Number","758"
"Daytime working population (E=B+D)","2016","Millstreet","Number","601"
"Daytime working population (E=B+D)","2016","Ballymahon","Number","586"
"Daytime working population (E=B+D)","2016","Cloyne","Number","136"
"Daytime working population (E=B+D)","2016","Dunmore East","Number","807"
"Daytime working population (E=B+D)","2016","Moycullen","Number","399"
"Daytime working population (E=B+D)","2016","Rosslare","Number","354"
"Daytime working population (E=B+D)","2016","Derrinturn","Number","184"
"Daytime working population (E=B+D)","2016","Fethard","Number","481"
"Daytime working population (E=B+D)","2016","Ballymote","Number","508"
"Daytime working population (E=B+D)","2016","Rathcormac","Number","129"
"Daytime working population (E=B+D)","2016","Collooney","Number","672"
"Daytime working population (E=B+D)","2016","Castlemartyr","Number","303"
"Daytime working population (E=B+D)","2016","Tullyallen","Number","138"
"Daytime working population (E=B+D)","2016","Longwood","Number","102"
"Daytime working population (E=B+D)","2016","Termonfeckin","Number","204"
"Daytime working population (E=B+D)","2016","Convoy","Number","250"
"Daytime working population (E=B+D)","2016","Castlecomer-Donaguile","Number","424"
"Net Gain/Loss in working population (E-A)","2016","Dublin City and suburbs","Number","90095"
"Net Gain/Loss in working population (E-A)","2016","Cork City and suburbs","Number","29392"
"Net Gain/Loss in working population (E-A)","2016","Limerick City and suburbs","Number","16081"
"Net Gain/Loss in working population (E-A)","2016","Galway City and suburbs","Number","16540"
"Net Gain/Loss in working population (E-A)","2016","Waterford City and suburbs","Number","7765"
"Net Gain/Loss in working population (E-A)","2016","Towns 1,500 population and over","Number","167208"
"Net Gain/Loss in working population (E-A)","2016","Drogheda","Number","-701"
"Net Gain/Loss in working population (E-A)","2016","Dundalk","Number","2570"
"Net Gain/Loss in working population (E-A)","2016","Swords","Number","-692"
"Net Gain/Loss in working population (E-A)","2016","Bray","Number","-2655"
"Net Gain/Loss in working population (E-A)","2016","Navan (An Uaimh)","Number","-853"
"Net Gain/Loss in working population (E-A)","2016","Ennis","Number","1699"
"Net Gain/Loss in working population (E-A)","2016","Kilkenny","Number","4679"
"Net Gain/Loss in working population (E-A)","2016","Tralee","Number","5892"
"Net Gain/Loss in working population (E-A)","2016","Carlow","Number","1103"
"Net Gain/Loss in working population (E-A)","2016","Droichead Nua","Number","-1337"
"Net Gain/Loss in working population (E-A)","2016","Naas","Number","2483"
"Net Gain/Loss in working population (E-A)","2016","Athlone","Number","6499"
"Net Gain/Loss in working population (E-A)","2016","Portlaoise","Number","2019"
"Net Gain/Loss in working population (E-A)","2016","Mullingar","Number","2241"
"Net Gain/Loss in working population (E-A)","2016","Wexford","Number","5575"
"Net Gain/Loss in working population (E-A)","2016","Balbriggan","Number","-3297"
"Net Gain/Loss in working population (E-A)","2016","Letterkenny","Number","4973"
"Net Gain/Loss in working population (E-A)","2016","Celbridge","Number","-5598"
"Net Gain/Loss in working population (E-A)","2016","Sligo","Number","7360"
"Net Gain/Loss in working population (E-A)","2016","Clonmel","Number","1483"
"Net Gain/Loss in working population (E-A)","2016","Greystones","Number","-4147"
"Net Gain/Loss in working population (E-A)","2016","Malahide","Number","-4030"
"Net Gain/Loss in working population (E-A)","2016","Leixlip","Number","-224"
"Net Gain/Loss in working population (E-A)","2016","Carrigaline","Number","-4148"
"Net Gain/Loss in working population (E-A)","2016","Tullamore","Number","3947"
"Net Gain/Loss in working population (E-A)","2016","Killarney","Number","2732"
"Net Gain/Loss in working population (E-A)","2016","Arklow","Number","-809"
"Net Gain/Loss in working population (E-A)","2016","Maynooth","Number","-229"
"Net Gain/Loss in working population (E-A)","2016","Cobh","Number","-2876"
"Net Gain/Loss in working population (E-A)","2016","Castlebar","Number","5105"
"Net Gain/Loss in working population (E-A)","2016","Midleton","Number","-415"
"Net Gain/Loss in working population (E-A)","2016","Mallow","Number","-89"
"Net Gain/Loss in working population (E-A)","2016","Ashbourne","Number","-2997"
"Net Gain/Loss in working population (E-A)","2016","Ballina","Number","1843"
"Net Gain/Loss in working population (E-A)","2016","Laytown-Bettystown-Mornington","Number","-3044"
"Net Gain/Loss in working population (E-A)","2016","Enniscorthy","Number","1144"
"Net Gain/Loss in working population (E-A)","2016","Wicklow","Number","-987"
"Net Gain/Loss in working population (E-A)","2016","Tramore","Number","-1692"
"Net Gain/Loss in working population (E-A)","2016","Cavan","Number","2239"
"Net Gain/Loss in working population (E-A)","2016","Athy","Number","-289"
"Net Gain/Loss in working population (E-A)","2016","Shannon","Number","914"
"Net Gain/Loss in working population (E-A)","2016","Skerries","Number","-2147"
"Net Gain/Loss in working population (E-A)","2016","Longford","Number","2616"
"Net Gain/Loss in working population (E-A)","2016","Dungarvan","Number","566"
"Net Gain/Loss in working population (E-A)","2016","Portmarnock","Number","-2536"
"Net Gain/Loss in working population (E-A)","2016","Rush","Number","-2497"
"Net Gain/Loss in working population (E-A)","2016","Gorey","Number","530"
"Net Gain/Loss in working population (E-A)","2016","Ratoath","Number","-2663"
"Net Gain/Loss in working population (E-A)","2016","Nenagh","Number","1642"
"Net Gain/Loss in working population (E-A)","2016","Trim","Number","-532"
"Net Gain/Loss in working population (E-A)","2016","Tuam","Number","1066"
"Net Gain/Loss in working population (E-A)","2016","New Ross","Number","818"
"Net Gain/Loss in working population (E-A)","2016","Kildare","Number","-641"
"Net Gain/Loss in working population (E-A)","2016","Thurles","Number","1142"
"Net Gain/Loss in working population (E-A)","2016","Youghal","Number","-568"
"Net Gain/Loss in working population (E-A)","2016","Portarlington","Number","-1113"
"Net Gain/Loss in working population (E-A)","2016","Monaghan","Number","1095"
"Net Gain/Loss in working population (E-A)","2016","Lusk","Number","-2365"
"Net Gain/Loss in working population (E-A)","2016","Edenderry","Number","-419"
"Net Gain/Loss in working population (E-A)","2016","Dunboyne","Number","-1526"
"Net Gain/Loss in working population (E-A)","2016","Buncrana","Number","176"
"Net Gain/Loss in working population (E-A)","2016","Donabate","Number","-2163"
"Net Gain/Loss in working population (E-A)","2016","Clane","Number","-1504"
"Net Gain/Loss in working population (E-A)","2016","Ballinasloe","Number","1290"
"Net Gain/Loss in working population (E-A)","2016","Bandon","Number","-20"
"Net Gain/Loss in working population (E-A)","2016","Fermoy","Number","-4"
"Net Gain/Loss in working population (E-A)","2016","Newcastle West","Number","337"
"Net Gain/Loss in working population (E-A)","2016","Westport","Number","2013"
"Net Gain/Loss in working population (E-A)","2016","Carrick-on-Suir","Number","-210"
"Net Gain/Loss in working population (E-A)","2016","Kells (Ceanannas)","Number","-319"
"Net Gain/Loss in working population (E-A)","2016","Birr","Number","310"
"Net Gain/Loss in working population (E-A)","2016","Kinsealy-Drinan","Number","-2313"
"Net Gain/Loss in working population (E-A)","2016","Passage West","Number","-1721"
"Net Gain/Loss in working population (E-A)","2016","Roscommon","Number","2099"
"Net Gain/Loss in working population (E-A)","2016","Kilcock","Number","-1577"
"Net Gain/Loss in working population (E-A)","2016","Roscrea","Number","292"
"Net Gain/Loss in working population (E-A)","2016","Tipperary","Number","849"
"Net Gain/Loss in working population (E-A)","2016","Sallins","Number","-1959"
"Net Gain/Loss in working population (E-A)","2016","Loughrea","Number","409"
"Net Gain/Loss in working population (E-A)","2016","Blessington","Number","-904"
"Net Gain/Loss in working population (E-A)","2016","Ardee","Number","257"
"Net Gain/Loss in working population (E-A)","2016","Carrickmacross","Number","263"
"Net Gain/Loss in working population (E-A)","2016","Kinsale","Number","24"
"Net Gain/Loss in working population (E-A)","2016","Ballybofey-Stranorlar","Number","603"
"Net Gain/Loss in working population (E-A)","2016","Listowel","Number","735"
"Net Gain/Loss in working population (E-A)","2016","Oranmore","Number","-1158"
"Net Gain/Loss in working population (E-A)","2016","Mountmellick","Number","-303"
"Net Gain/Loss in working population (E-A)","2016","Clonakilty","Number","825"
"Net Gain/Loss in working population (E-A)","2016","Carrigtwohill","Number","-1061"
"Net Gain/Loss in working population (E-A)","2016","Cashel","Number","420"
"Net Gain/Loss in working population (E-A)","2016","Kilcoole","Number","-613"
"Net Gain/Loss in working population (E-A)","2016","Duleek","Number","-757"
"Net Gain/Loss in working population (E-A)","2016","Carrick-on-Shannon","Number","1507"
"Net Gain/Loss in working population (E-A)","2016","Tullow","Number","-168"
"Net Gain/Loss in working population (E-A)","2016","Athenry","Number","-161"
"Net Gain/Loss in working population (E-A)","2016","Dunshaughlin","Number","-538"
"Net Gain/Loss in working population (E-A)","2016","Macroom","Number","284"
"Net Gain/Loss in working population (E-A)","2016","Monasterevin","Number","-286"
"Net Gain/Loss in working population (E-A)","2016","Mitchelstown","Number","353"
"Net Gain/Loss in working population (E-A)","2016","Rathluirc (or Charleville)","Number","1078"
"Net Gain/Loss in working population (E-A)","2016","Castleblayney","Number","482"
"Net Gain/Loss in working population (E-A)","2016","Cahir","Number","67"
"Net Gain/Loss in working population (E-A)","2016","Kilcullen","Number","-394"
"Net Gain/Loss in working population (E-A)","2016","Rathcoole","Number","-825"
"Net Gain/Loss in working population (E-A)","2016","Claremorris","Number","91"
"Net Gain/Loss in working population (E-A)","2016","Bantry","Number","958"
"Net Gain/Loss in working population (E-A)","2016","Tower","Number","-904"
"Net Gain/Loss in working population (E-A)","2016","Clara","Number","-389"
"Net Gain/Loss in working population (E-A)","2016","Stamullen","Number","-838"
"Net Gain/Loss in working population (E-A)","2016","Kill","Number","-1019"
"Net Gain/Loss in working population (E-A)","2016","Rathnew","Number","-402"
"Net Gain/Loss in working population (E-A)","2016","Muinebeag","Number","648"
"Net Gain/Loss in working population (E-A)","2016","Enfield","Number","-707"
"Net Gain/Loss in working population (E-A)","2016","Courtown Harbour","Number","-556"
"Net Gain/Loss in working population (E-A)","2016","Annacotty","Number","-357"
"Net Gain/Loss in working population (E-A)","2016","Moate","Number","-358"
"Net Gain/Loss in working population (E-A)","2016","Ballinrobe","Number","133"
"Net Gain/Loss in working population (E-A)","2016","Kilrush","Number","578"
"Net Gain/Loss in working population (E-A)","2016","Skibbereen","Number","776"
"Net Gain/Loss in working population (E-A)","2016","Kinnegad","Number","-415"
"Net Gain/Loss in working population (E-A)","2016","Newcastle","Number","-852"
"Net Gain/Loss in working population (E-A)","2016","Gort","Number","253"
"Net Gain/Loss in working population (E-A)","2016","Donegal","Number","870"
"Net Gain/Loss in working population (E-A)","2016","Boyle","Number","374"
"Net Gain/Loss in working population (E-A)","2016","Ballyjamesduff","Number","-321"
"Net Gain/Loss in working population (E-A)","2016","Carndonagh","Number","482"
"Net Gain/Loss in working population (E-A)","2016","Bailieborough","Number","3"
"Net Gain/Loss in working population (E-A)","2016","Castleisland","Number","574"
"Net Gain/Loss in working population (E-A)","2016","Sixmilebridge","Number","-748"
"Net Gain/Loss in working population (E-A)","2016","Ballyshannon","Number","293"
"Net Gain/Loss in working population (E-A)","2016","Ballina (North Tipperary)","Number","-633"
"Net Gain/Loss in working population (E-A)","2016","Blarney","Number","-204"
"Net Gain/Loss in working population (E-A)","2016","Newtownmountkennedy","Number","-24"
"Net Gain/Loss in working population (E-A)","2016","Athboy","Number","-275"
"Net Gain/Loss in working population (E-A)","2016","Rathangan","Number","-422"
"Net Gain/Loss in working population (E-A)","2016","Callan","Number","81"
"Net Gain/Loss in working population (E-A)","2016","Kingscourt","Number","-207"
"Net Gain/Loss in working population (E-A)","2016","Ballyhaunis","Number","547"
"Net Gain/Loss in working population (E-A)","2016","Virginia","Number","-181"
"Net Gain/Loss in working population (E-A)","2016","Thomastown","Number","-158"
"Net Gain/Loss in working population (E-A)","2016","Kanturk","Number","39"
"Net Gain/Loss in working population (E-A)","2016","Prosperous","Number","-409"
"Net Gain/Loss in working population (E-A)","2016","Kenmare","Number","296"
"Net Gain/Loss in working population (E-A)","2016","Saggart","Number","-992"
"Net Gain/Loss in working population (E-A)","2016","Bundoran","Number","59"
"Net Gain/Loss in working population (E-A)","2016","Cootehill","Number","302"
"Net Gain/Loss in working population (E-A)","2016","Crosshaven","Number","-544"
"Net Gain/Loss in working population (E-A)","2016","Killorglin","Number","1310"
"Net Gain/Loss in working population (E-A)","2016","Templemore","Number","564"
"Net Gain/Loss in working population (E-A)","2016","Baltinglass","Number","36"
"Net Gain/Loss in working population (E-A)","2016","Clifden","Number","380"
"Net Gain/Loss in working population (E-A)","2016","Bunclody-Carrickduff","Number","153"
"Net Gain/Loss in working population (E-A)","2016","Abbeyfeale","Number","836"
"Net Gain/Loss in working population (E-A)","2016","Clogherhead","Number","-518"
"Net Gain/Loss in working population (E-A)","2016","Castlerea","Number","395"
"Net Gain/Loss in working population (E-A)","2016","An Daingean","Number","651"
"Net Gain/Loss in working population (E-A)","2016","Castleconnell","Number","-458"
"Net Gain/Loss in working population (E-A)","2016","Bearna","Number","-368"
"Net Gain/Loss in working population (E-A)","2016","Balrothery","Number","-569"
"Net Gain/Loss in working population (E-A)","2016","Abbeyleix","Number","-1"
"Net Gain/Loss in working population (E-A)","2016","Ballaghaderreen","Number","-313"
"Net Gain/Loss in working population (E-A)","2016","Enniskerry","Number","-351"
"Net Gain/Loss in working population (E-A)","2016","Newport","Number","-327"
"Net Gain/Loss in working population (E-A)","2016","Dunleer","Number","211"
"Net Gain/Loss in working population (E-A)","2016","Newmarket-on-Fergus","Number","-468"
"Net Gain/Loss in working population (E-A)","2016","Clones","Number","-13"
"Net Gain/Loss in working population (E-A)","2016","Tubbercurry","Number","67"
"Net Gain/Loss in working population (E-A)","2016","Edgeworthstown","Number","23"
"Net Gain/Loss in working population (E-A)","2016","Ballivor","Number","-350"
"Net Gain/Loss in working population (E-A)","2016","Castlebridge","Number","-435"
"Net Gain/Loss in working population (E-A)","2016","Portlaw","Number","-348"
"Net Gain/Loss in working population (E-A)","2016","Mountrath","Number","-46"
"Net Gain/Loss in working population (E-A)","2016","Lifford","Number","428"
"Net Gain/Loss in working population (E-A)","2016","Banagher","Number","-13"
"Net Gain/Loss in working population (E-A)","2016","Kilmallock","Number","304"
"Net Gain/Loss in working population (E-A)","2016","Strandhill","Number","-390"
"Net Gain/Loss in working population (E-A)","2016","Rathdrum","Number","21"
"Net Gain/Loss in working population (E-A)","2016","Dunmanway","Number","280"
"Net Gain/Loss in working population (E-A)","2016","Millstreet","Number","38"
"Net Gain/Loss in working population (E-A)","2016","Ballymahon","Number","42"
"Net Gain/Loss in working population (E-A)","2016","Cloyne","Number","-465"
"Net Gain/Loss in working population (E-A)","2016","Dunmore East","Number","399"
"Net Gain/Loss in working population (E-A)","2016","Moycullen","Number","-243"
"Net Gain/Loss in working population (E-A)","2016","Rosslare","Number","-47"
"Net Gain/Loss in working population (E-A)","2016","Derrinturn","Number","-291"
"Net Gain/Loss in working population (E-A)","2016","Fethard","Number","50"
"Net Gain/Loss in working population (E-A)","2016","Ballymote","Number","75"
"Net Gain/Loss in working population (E-A)","2016","Rathcormac","Number","-539"
"Net Gain/Loss in working population (E-A)","2016","Collooney","Number","125"
"Net Gain/Loss in working population (E-A)","2016","Castlemartyr","Number","-236"
"Net Gain/Loss in working population (E-A)","2016","Tullyallen","Number","-422"
"Net Gain/Loss in working population (E-A)","2016","Longwood","Number","-441"
"Net Gain/Loss in working population (E-A)","2016","Termonfeckin","Number","-314"
"Net Gain/Loss in working population (E-A)","2016","Convoy","Number","-118"
"Net Gain/Loss in working population (E-A)","2016","Castlecomer-Donaguile","Number","15"
