"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town or Rural Area","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","All departure times","All persons","Number","6879"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","All departure times","Population aged 15 years and over at work","Number","6474"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","All departure times","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","All departure times","Students at school or college aged between 13 and 18 years","Number","84"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","All departure times","Students at school or college aged 19 years and over","Number","321"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Before 06:30","All persons","Number","708"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Before 06:30","Population aged 15 years and over at work","Number","703"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Before 06:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Before 06:30","Students at school or college aged 19 years and over","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","06:30 - 07:00","All persons","Number","657"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","06:30 - 07:00","Population aged 15 years and over at work","Number","651"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:01 - 07:30","All persons","Number","879"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:01 - 07:30","Population aged 15 years and over at work","Number","863"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:31 - 08:00","All persons","Number","1120"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:31 - 08:00","Population aged 15 years and over at work","Number","1059"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","50"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:01 - 08:30","All persons","Number","1307"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:01 - 08:30","Population aged 15 years and over at work","Number","1200"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","39"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","68"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:31 - 09:00","All persons","Number","968"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:31 - 09:00","Population aged 15 years and over at work","Number","844"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","98"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","09:01 - 09:30","All persons","Number","410"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","09:01 - 09:30","Population aged 15 years and over at work","Number","374"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","35"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","After 09:30","All persons","Number","753"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","After 09:30","Population aged 15 years and over at work","Number","705"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","After 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","After 09:30","Students at school or college aged 19 years and over","Number","45"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Not stated","All persons","Number","77"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Not stated","Population aged 15 years and over at work","Number","75"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Not stated","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Not stated","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Town Area","Not stated","Students at school or college aged 19 years and over","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","All departure times","All persons","Number","1686"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","All departure times","Population aged 15 years and over at work","Number","1516"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","All departure times","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","All departure times","Students at school or college aged between 13 and 18 years","Number","76"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","All departure times","Students at school or college aged 19 years and over","Number","94"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Before 06:30","All persons","Number","165"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Before 06:30","Population aged 15 years and over at work","Number","162"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Before 06:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Before 06:30","Students at school or college aged 19 years and over","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","06:30 - 07:00","All persons","Number","172"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","06:30 - 07:00","Population aged 15 years and over at work","Number","165"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:01 - 07:30","All persons","Number","215"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:01 - 07:30","Population aged 15 years and over at work","Number","200"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:31 - 08:00","All persons","Number","309"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:31 - 08:00","Population aged 15 years and over at work","Number","286"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:01 - 08:30","All persons","Number","309"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:01 - 08:30","Population aged 15 years and over at work","Number","250"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","33"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:31 - 09:00","All persons","Number","248"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:31 - 09:00","Population aged 15 years and over at work","Number","200"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","28"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","09:01 - 09:30","All persons","Number","91"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","09:01 - 09:30","Population aged 15 years and over at work","Number","82"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","After 09:30","All persons","Number","150"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","After 09:30","Population aged 15 years and over at work","Number","144"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","After 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","After 09:30","Students at school or college aged 19 years and over","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Not stated","All persons","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Not stated","Population aged 15 years and over at work","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Not stated","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Not stated","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Aggregate Rural Area","Not stated","Students at school or college aged 19 years and over","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","All departure times","All persons","Number","1202441"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","All departure times","Population aged 15 years and over at work","Number","1152631"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","All departure times","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","All departure times","Students at school or college aged between 13 and 18 years","Number","5039"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","All departure times","Students at school or college aged 19 years and over","Number","44771"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Before 06:30","All persons","Number","106237"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Before 06:30","Population aged 15 years and over at work","Number","105402"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Before 06:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Before 06:30","Students at school or college aged between 13 and 18 years","Number","28"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Before 06:30","Students at school or college aged 19 years and over","Number","807"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","06:30 - 07:00","All persons","Number","124942"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","06:30 - 07:00","Population aged 15 years and over at work","Number","122526"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","72"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","06:30 - 07:00","Students at school or college aged 19 years and over","Number","2344"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:01 - 07:30","All persons","Number","151693"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:01 - 07:30","Population aged 15 years and over at work","Number","147407"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","223"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:01 - 07:30","Students at school or college aged 19 years and over","Number","4063"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:31 - 08:00","All persons","Number","212119"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:31 - 08:00","Population aged 15 years and over at work","Number","203890"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","648"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","07:31 - 08:00","Students at school or college aged 19 years and over","Number","7581"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:01 - 08:30","All persons","Number","228891"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:01 - 08:30","Population aged 15 years and over at work","Number","215423"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","1987"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:01 - 08:30","Students at school or college aged 19 years and over","Number","11481"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:31 - 09:00","All persons","Number","181116"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:31 - 09:00","Population aged 15 years and over at work","Number","169199"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","1793"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","08:31 - 09:00","Students at school or college aged 19 years and over","Number","10124"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","09:01 - 09:30","All persons","Number","68949"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","09:01 - 09:30","Population aged 15 years and over at work","Number","64914"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","169"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","09:01 - 09:30","Students at school or college aged 19 years and over","Number","3866"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","After 09:30","All persons","Number","115670"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","After 09:30","Population aged 15 years and over at work","Number","111574"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","After 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","After 09:30","Students at school or college aged between 13 and 18 years","Number","87"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","After 09:30","Students at school or college aged 19 years and over","Number","4009"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Not stated","All persons","Number","12824"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Not stated","Population aged 15 years and over at work","Number","12296"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Not stated","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Not stated","Students at school or college aged between 13 and 18 years","Number","32"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Not stated","Students at school or college aged 19 years and over","Number","496"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","All departure times","All persons","Number","701040"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","All departure times","Population aged 15 years and over at work","Number","675679"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","All departure times","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","All departure times","Students at school or college aged between 13 and 18 years","Number","1819"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","All departure times","Students at school or college aged 19 years and over","Number","23542"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Before 06:30","All persons","Number","65209"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Before 06:30","Population aged 15 years and over at work","Number","64829"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Before 06:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Before 06:30","Students at school or college aged 19 years and over","Number","376"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","06:30 - 07:00","All persons","Number","75470"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","06:30 - 07:00","Population aged 15 years and over at work","Number","74323"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","1122"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:01 - 07:30","All persons","Number","89233"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:01 - 07:30","Population aged 15 years and over at work","Number","87216"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","83"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","1934"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:31 - 08:00","All persons","Number","125206"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:31 - 08:00","Population aged 15 years and over at work","Number","121169"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","283"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","3754"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:01 - 08:30","All persons","Number","130362"
