"Statistic","CensusYear","Age Group","Sex","Travelling Time","UNIT","VALUE"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Female","¼ hour - < ½ hour","Number","32413"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Female","½ hour - < ¾ hour","Number","22433"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Female","¾ hour - < 1 hour","Number","8163"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Female","1 hour - < 1½ hours","Number","7383"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Female","1½ hours and over","Number","2262"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Female","Not stated","Number","7872"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Both sexes","Total time travelling","Number","270860"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Both sexes","< ¼ hour","Number","58633"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Both sexes","¼ hour - < ½ hour","Number","79863"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Both sexes","½ hour - < ¾ hour","Number","60603"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Both sexes","¾ hour - < 1 hour","Number","22486"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Both sexes","1 hour - < 1½ hours","Number","23346"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Both sexes","1½ hours and over","Number","7594"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Both sexes","Not stated","Number","18335"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Male","Total time travelling","Number","135763"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Male","< ¼ hour","Number","28180"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Male","¼ hour - < ½ hour","Number","37940"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Male","½ hour - < ¾ hour","Number","30342"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Male","¾ hour - < 1 hour","Number","10743"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Male","1 hour - < 1½ hours","Number","12846"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Male","1½ hours and over","Number","4711"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Male","Not stated","Number","11001"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Female","Total time travelling","Number","135097"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Female","< ¼ hour","Number","30453"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Female","¼ hour - < ½ hour","Number","41923"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Female","½ hour - < ¾ hour","Number","30261"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Female","¾ hour - < 1 hour","Number","11743"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Female","1 hour - < 1½ hours","Number","10500"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Female","1½ hours and over","Number","2883"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","30 - 34 years","Female","Not stated","Number","7334"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Both sexes","Total time travelling","Number","291471"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Both sexes","< ¼ hour","Number","60899"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Both sexes","¼ hour - < ½ hour","Number","83080"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Both sexes","½ hour - < ¾ hour","Number","66083"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Both sexes","¾ hour - < 1 hour","Number","25761"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Both sexes","1 hour - < 1½ hours","Number","26734"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Both sexes","1½ hours and over","Number","9162"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Both sexes","Not stated","Number","19752"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Male","Total time travelling","Number","153045"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Male","< ¼ hour","Number","30472"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Male","¼ hour - < ½ hour","Number","41180"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Male","½ hour - < ¾ hour","Number","34578"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Male","¾ hour - < 1 hour","Number","13287"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Male","1 hour - < 1½ hours","Number","15392"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Male","1½ hours and over","Number","5948"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Male","Not stated","Number","12188"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Female","Total time travelling","Number","138426"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Female","< ¼ hour","Number","30427"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Female","¼ hour - < ½ hour","Number","41900"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Female","½ hour - < ¾ hour","Number","31505"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Female","¾ hour - < 1 hour","Number","12474"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Female","1 hour - < 1½ hours","Number","11342"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Female","1½ hours and over","Number","3214"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","35 - 39 years","Female","Not stated","Number","7564"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Both sexes","Total time travelling","Number","256655"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Both sexes","< ¼ hour","Number","55341"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Both sexes","¼ hour - < ½ hour","Number","73803"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Both sexes","½ hour - < ¾ hour","Number","57361"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Both sexes","¾ hour - < 1 hour","Number","21859"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Both sexes","1 hour - < 1½ hours","Number","23096"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Both sexes","1½ hours and over","Number","8732"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Both sexes","Not stated","Number","16463"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Male","Total time travelling","Number","138193"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Male","< ¼ hour","Number","27457"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Male","¼ hour - < ½ hour","Number","36630"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Male","½ hour - < ¾ hour","Number","31360"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Male","¾ hour - < 1 hour","Number","12025"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Male","1 hour - < 1½ hours","Number","14147"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Male","1½ hours and over","Number","6070"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Male","Not stated","Number","10504"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Female","Total time travelling","Number","118462"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Female","< ¼ hour","Number","27884"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Female","¼ hour - < ½ hour","Number","37173"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Female","½ hour - < ¾ hour","Number","26001"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Female","¾ hour - < 1 hour","Number","9834"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Female","1 hour - < 1½ hours","Number","8949"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Female","1½ hours and over","Number","2662"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","40 - 44 years","Female","Not stated","Number","5959"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Both sexes","Total time travelling","Number","223714"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Both sexes","< ¼ hour","Number","52315"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Both sexes","¼ hour - < ½ hour","Number","65622"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Both sexes","½ hour - < ¾ hour","Number","47237"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Both sexes","¾ hour - < 1 hour","Number","17375"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Both sexes","1 hour - < 1½ hours","Number","17943"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Both sexes","1½ hours and over","Number","6926"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Both sexes","Not stated","Number","16296"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Male","Total time travelling","Number","120760"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Male","< ¼ hour","Number","25064"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Male","¼ hour - < ½ hour","Number","32473"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Male","½ hour - < ¾ hour","Number","26367"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Male","¾ hour - < 1 hour","Number","9784"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Male","1 hour - < 1½ hours","Number","11610"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Male","1½ hours and over","Number","4915"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Male","Not stated","Number","10547"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Female","Total time travelling","Number","102954"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Female","< ¼ hour","Number","27251"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Female","¼ hour - < ½ hour","Number","33149"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Female","½ hour - < ¾ hour","Number","20870"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Female","¾ hour - < 1 hour","Number","7591"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Female","1 hour - < 1½ hours","Number","6333"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Female","1½ hours and over","Number","2011"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","45 - 49 years","Female","Not stated","Number","5749"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Both sexes","Total time travelling","Number","195715"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Both sexes","< ¼ hour","Number","49179"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Both sexes","¼ hour - < ½ hour","Number","59317"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Both sexes","½ hour - < ¾ hour","Number","39559"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Both sexes","¾ hour - < 1 hour","Number","14008"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Both sexes","1 hour - < 1½ hours","Number","13771"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Both sexes","1½ hours and over","Number","5165"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Both sexes","Not stated","Number","14716"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Male","Total time travelling","Number","103359"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Male","< ¼ hour","Number","23104"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Male","¼ hour - < ½ hour","Number","28407"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Male","½ hour - < ¾ hour","Number","21898"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Male","¾ hour - < 1 hour","Number","7899"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Male","1 hour - < 1½ hours","Number","8824"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Male","1½ hours and over","Number","3668"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Male","Not stated","Number","9559"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Female","Total time travelling","Number","92356"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Female","< ¼ hour","Number","26075"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Female","¼ hour - < ½ hour","Number","30910"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Female","½ hour - < ¾ hour","Number","17661"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Female","¾ hour - < 1 hour","Number","6109"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Female","1 hour - < 1½ hours","Number","4947"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Female","1½ hours and over","Number","1497"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","50 - 54 years","Female","Not stated","Number","5157"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Both sexes","Total time travelling","Number","155388"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Both sexes","< ¼ hour","Number","40277"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Both sexes","¼ hour - < ½ hour","Number","47351"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Both sexes","½ hour - < ¾ hour","Number","30325"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Both sexes","¾ hour - < 1 hour","Number","10160"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Both sexes","1 hour - < 1½ hours","Number","9326"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Both sexes","1½ hours and over","Number","3335"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Both sexes","Not stated","Number","14614"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Male","Total time travelling","Number","83133"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Male","< ¼ hour","Number","19557"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Male","¼ hour - < ½ hour","Number","23087"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Male","½ hour - < ¾ hour","Number","17039"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Male","¾ hour - < 1 hour","Number","5705"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Male","1 hour - < 1½ hours","Number","5994"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Male","1½ hours and over","Number","2409"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Male","Not stated","Number","9342"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Female","Total time travelling","Number","72255"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Female","< ¼ hour","Number","20720"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Female","¼ hour - < ½ hour","Number","24264"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Female","½ hour - < ¾ hour","Number","13286"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Female","¾ hour - < 1 hour","Number","4455"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Female","1 hour - < 1½ hours","Number","3332"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Female","1½ hours and over","Number","926"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","55 - 59 years","Female","Not stated","Number","5272"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Both sexes","Total time travelling","Number","97045"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Both sexes","< ¼ hour","Number","25807"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Both sexes","¼ hour - < ½ hour","Number","28634"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Both sexes","½ hour - < ¾ hour","Number","17530"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Both sexes","¾ hour - < 1 hour","Number","5419"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Both sexes","1 hour - < 1½ hours","Number","5178"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Both sexes","1½ hours and over","Number","1909"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Both sexes","Not stated","Number","12568"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Male","Total time travelling","Number","54719"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Male","< ¼ hour","Number","13659"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Male","¼ hour - < ½ hour","Number","14673"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Male","½ hour - < ¾ hour","Number","10431"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Male","¾ hour - < 1 hour","Number","3172"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Male","1 hour - < 1½ hours","Number","3483"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Male","1½ hours and over","Number","1332"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Male","Not stated","Number","7969"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Female","Total time travelling","Number","42326"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Female","< ¼ hour","Number","12148"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Female","¼ hour - < ½ hour","Number","13961"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Female","½ hour - < ¾ hour","Number","7099"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Female","¾ hour - < 1 hour","Number","2247"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Female","1 hour - < 1½ hours","Number","1695"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Female","1½ hours and over","Number","577"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","60 - 64 years","Female","Not stated","Number","4599"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Both sexes","Total time travelling","Number","28472"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Both sexes","< ¼ hour","Number","8461"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Both sexes","¼ hour - < ½ hour","Number","7309"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Both sexes","½ hour - < ¾ hour","Number","4508"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Both sexes","¾ hour - < 1 hour","Number","1265"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Both sexes","1 hour - < 1½ hours","Number","1253"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Both sexes","1½ hours and over","Number","487"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Both sexes","Not stated","Number","5189"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Male","Total time travelling","Number","18291"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Male","< ¼ hour","Number","5129"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Male","¼ hour - < ½ hour","Number","4364"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Male","½ hour - < ¾ hour","Number","2976"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Male","¾ hour - < 1 hour","Number","829"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Male","1 hour - < 1½ hours","Number","933"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Male","1½ hours and over","Number","377"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Male","Not stated","Number","3683"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Female","Total time travelling","Number","10181"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Female","< ¼ hour","Number","3332"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Female","¼ hour - < ½ hour","Number","2945"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Female","½ hour - < ¾ hour","Number","1532"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Female","¾ hour - < 1 hour","Number","436"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Female","1 hour - < 1½ hours","Number","320"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Female","1½ hours and over","Number","110"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","65 - 69 years","Female","Not stated","Number","1506"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Both sexes","Total time travelling","Number","15477"
