year,sex,means_of_travel,town_size,age_range,edu_status,value
2011,Female,carpool,Galway City and suburbs,19-66,at university,276
2011,Female,carpool,Waterford City and suburbs,15-66,working,869
2011,Female,carpool,Waterford City and suburbs,5-12,at primary school,1709
2011,Female,carpool,Waterford City and suburbs,13-18,at secondary school,858
2011,Female,carpool,Waterford City and suburbs,19-66,at university,180
2011,Female,carpool,"Towns 10,000 population and over",15-66,working,9347
2011,Female,carpool,"Towns 10,000 population and over",5-12,at primary school,23751
2011,Female,carpool,"Towns 10,000 population and over",13-18,at secondary school,10662
2011,Female,carpool,"Towns 10,000 population and over",19-66,at university,1380
2011,Female,carpool,"Towns 5,000 - 9,999 population",15-66,working,3508
2011,Female,carpool,"Towns 5,000 - 9,999 population",5-12,at primary school,9219
2011,Female,carpool,"Towns 5,000 - 9,999 population",13-18,at secondary school,3910
2011,Female,carpool,"Towns 5,000 - 9,999 population",19-66,at university,497
2011,Female,carpool,"Towns 2,000 - 4,999 population",15-66,working,2501
2011,Female,carpool,"Towns 2,000 - 4,999 population",5-12,at primary school,6963
2011,Female,carpool,"Towns 2,000 - 4,999 population",13-18,at secondary school,2942
2011,Female,carpool,"Towns 2,000 - 4,999 population",19-66,at university,368
2011,Female,carpool,"Towns 1,500 - 1,999 population",15-66,working,635
2011,Female,carpool,"Towns 1,500 - 1,999 population",5-12,at primary school,2116
2011,Female,carpool,"Towns 1,500 - 1,999 population",13-18,at secondary school,769
2011,Female,carpool,"Towns 1,500 - 1,999 population",19-66,at university,150
2011,Female,carpool,"Towns 1,000 - 1,499 population",15-66,working,952
2011,Female,carpool,"Towns 1,000 - 1,499 population",5-12,at primary school,3017
2011,Female,carpool,"Towns 1,000 - 1,499 population",13-18,at secondary school,1105
2011,Female,carpool,"Towns 1,000 - 1,499 population",19-66,at university,185
2011,Female,carpool,Total Towns 500 - 999 population,15-66,working,1180
2011,Female,carpool,Total Towns 500 - 999 population,5-12,at primary school,3819
2011,Female,carpool,Total Towns 500 - 999 population,13-18,at secondary school,1512
2011,Female,carpool,Total Towns 500 - 999 population,19-66,at university,246
2011,Female,carpool,Towns under 500 population but with at least 50 inhabited houses,15-66,working,968
2011,Female,carpool,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,3538
2011,Female,carpool,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,1361
2011,Female,carpool,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,245
2011,Female,carpool,Remainder of country,15-66,working,9477
2011,Female,carpool,Remainder of country,5-12,at primary school,58754
2011,Female,carpool,Remainder of country,13-18,at secondary school,26824
2011,Female,carpool,Remainder of country,19-66,at university,3072
2011,Female,truck,Dublin City and suburbs,15-66,working,311
2011,Female,truck,Dublin City and suburbs,5-12,at primary school,54
2011,Female,truck,Dublin City and suburbs,13-18,at secondary school,24
2011,Female,truck,Dublin City and suburbs,19-66,at university,13
2011,Female,truck,Cork City and suburbs,15-66,working,90
2011,Female,truck,Cork City and suburbs,5-12,at primary school,12
2011,Female,truck,Cork City and suburbs,13-18,at secondary school,8
2011,Female,truck,Cork City and suburbs,19-66,at university,1
2011,Female,truck,Limerick City and suburbs,15-66,working,30
2011,Female,truck,Limerick City and suburbs,5-12,at primary school,5
2011,Female,truck,Limerick City and suburbs,13-18,at secondary school,1
2011,Female,truck,Limerick City and suburbs,19-66,at university,6
2011,Female,truck,Galway City and suburbs,15-66,working,41
2011,Female,truck,Galway City and suburbs,5-12,at primary school,6
2011,Female,truck,Galway City and suburbs,13-18,at secondary school,5
2011,Female,truck,Galway City and suburbs,19-66,at university,2
2011,Female,truck,Waterford City and suburbs,15-66,working,21
2011,Female,truck,Waterford City and suburbs,5-12,at primary school,3
2011,Female,truck,Waterford City and suburbs,13-18,at secondary school,4
2011,Female,truck,Waterford City and suburbs,19-66,at university,2
2011,Female,truck,"Towns 10,000 population and over",15-66,working,309
2011,Female,truck,"Towns 10,000 population and over",5-12,at primary school,65
2011,Female,truck,"Towns 10,000 population and over",13-18,at secondary school,49
2011,Female,truck,"Towns 10,000 population and over",19-66,at university,5
2011,Female,truck,"Towns 5,000 - 9,999 population",15-66,working,164
2011,Female,truck,"Towns 5,000 - 9,999 population",5-12,at primary school,29
2011,Female,truck,"Towns 5,000 - 9,999 population",13-18,at secondary school,20
2011,Female,truck,"Towns 5,000 - 9,999 population",19-66,at university,3
2011,Female,truck,"Towns 2,000 - 4,999 population",15-66,working,156
2011,Female,truck,"Towns 2,000 - 4,999 population",5-12,at primary school,18
2011,Female,truck,"Towns 2,000 - 4,999 population",13-18,at secondary school,11
2011,Female,truck,"Towns 2,000 - 4,999 population",19-66,at university,5
2011,Female,truck,"Towns 1,500 - 1,999 population",15-66,working,56
2011,Female,truck,"Towns 1,500 - 1,999 population",5-12,at primary school,9
2011,Female,truck,"Towns 1,500 - 1,999 population",13-18,at secondary school,1
2011,Female,truck,"Towns 1,500 - 1,999 population",19-66,at university,1
2011,Female,truck,"Towns 1,000 - 1,499 population",15-66,working,60
2011,Female,truck,"Towns 1,000 - 1,499 population",5-12,at primary school,7
2011,Female,truck,"Towns 1,000 - 1,499 population",13-18,at secondary school,4
2011,Female,truck,"Towns 1,000 - 1,499 population",19-66,at university,3
2011,Female,truck,Total Towns 500 - 999 population,15-66,working,74
2011,Female,truck,Total Towns 500 - 999 population,5-12,at primary school,6
2011,Female,truck,Total Towns 500 - 999 population,13-18,at secondary school,10
2011,Female,truck,Total Towns 500 - 999 population,19-66,at university,3
2011,Female,truck,Towns under 500 population but with at least 50 inhabited houses,15-66,working,91
2011,Female,truck,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,7
2011,Female,truck,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,4
2011,Female,truck,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,4
2011,Female,truck,Remainder of country,15-66,working,1323
2011,Female,truck,Remainder of country,5-12,at primary school,189
2011,Female,truck,Remainder of country,13-18,at secondary school,123
2011,Female,truck,Remainder of country,19-66,at university,46
2011,Female,truck,Dublin City and suburbs,15-66,working,81
2011,Female,truck,Dublin City and suburbs,5-12,at primary school,16
2011,Female,truck,Dublin City and suburbs,13-18,at secondary school,5
2011,Female,truck,Dublin City and suburbs,19-66,at university,10
2011,Female,truck,Cork City and suburbs,15-66,working,17
2011,Female,truck,Cork City and suburbs,5-12,at primary school,1
2011,Female,truck,Cork City and suburbs,13-18,at secondary school,4
2011,Female,truck,Cork City and suburbs,19-66,at university,2
2011,Female,truck,Limerick City and suburbs,15-66,working,8
2011,Female,truck,Limerick City and suburbs,5-12,at primary school,1
2011,Female,truck,Limerick City and suburbs,13-18,at secondary school,0
2011,Female,truck,Limerick City and suburbs,19-66,at university,0
2011,Female,truck,Galway City and suburbs,15-66,working,8
2011,Female,truck,Galway City and suburbs,5-12,at primary school,2
2011,Female,truck,Galway City and suburbs,13-18,at secondary school,0
2011,Female,truck,Galway City and suburbs,19-66,at university,0
2011,Female,truck,Waterford City and suburbs,15-66,working,5
2011,Female,truck,Waterford City and suburbs,5-12,at primary school,0
2011,Female,truck,Waterford City and suburbs,13-18,at secondary school,0
2011,Female,truck,Waterford City and suburbs,19-66,at university,1
2011,Female,truck,"Towns 10,000 population and over",15-66,working,92
2011,Female,truck,"Towns 10,000 population and over",5-12,at primary school,12
2011,Female,truck,"Towns 10,000 population and over",13-18,at secondary school,3
2011,Female,truck,"Towns 10,000 population and over",19-66,at university,3
2011,Female,truck,"Towns 5,000 - 9,999 population",15-66,working,11
2011,Female,truck,"Towns 5,000 - 9,999 population",5-12,at primary school,8
2011,Female,truck,"Towns 5,000 - 9,999 population",13-18,at secondary school,0
2011,Female,truck,"Towns 5,000 - 9,999 population",19-66,at university,2
2011,Female,truck,"Towns 2,000 - 4,999 population",15-66,working,21
2011,Female,truck,"Towns 2,000 - 4,999 population",5-12,at primary school,3
2011,Female,truck,"Towns 2,000 - 4,999 population",13-18,at secondary school,0
2011,Female,truck,"Towns 2,000 - 4,999 population",19-66,at university,1
2011,Female,truck,"Towns 1,500 - 1,999 population",15-66,working,8
2011,Female,truck,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2011,Female,truck,"Towns 1,500 - 1,999 population",13-18,at secondary school,0
2011,Female,truck,"Towns 1,500 - 1,999 population",19-66,at university,0
2011,Female,truck,"Towns 1,000 - 1,499 population",15-66,working,7
2011,Female,truck,"Towns 1,000 - 1,499 population",5-12,at primary school,1
2011,Female,truck,"Towns 1,000 - 1,499 population",13-18,at secondary school,0
2011,Female,truck,"Towns 1,000 - 1,499 population",19-66,at university,0
2011,Female,truck,Total Towns 500 - 999 population,15-66,working,10
2011,Female,truck,Total Towns 500 - 999 population,5-12,at primary school,2
2011,Female,truck,Total Towns 500 - 999 population,13-18,at secondary school,0
2011,Female,truck,Total Towns 500 - 999 population,19-66,at university,0
2011,Female,truck,Towns under 500 population but with at least 50 inhabited houses,15-66,working,9
2011,Female,truck,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,3
2011,Female,truck,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,0
2011,Female,truck,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,5
2011,Female,truck,Remainder of country,15-66,working,184
2011,Female,truck,Remainder of country,5-12,at primary school,31
2011,Female,truck,Remainder of country,13-18,at secondary school,23
2011,Female,truck,Remainder of country,19-66,at university,10
2011,Female,remote,Dublin City and suburbs,15-66,working,4446
2011,Female,remote,Dublin City and suburbs,5-12,at primary school,22
2011,Female,remote,Dublin City and suburbs,13-18,at secondary school,20
2011,Female,remote,Dublin City and suburbs,19-66,at university,98
2011,Female,remote,Cork City and suburbs,15-66,working,627
2011,Female,remote,Cork City and suburbs,5-12,at primary school,7
2011,Female,remote,Cork City and suburbs,13-18,at secondary school,3
2011,Female,remote,Cork City and suburbs,19-66,at university,17
2011,Female,remote,Limerick City and suburbs,15-66,working,273
2011,Female,remote,Limerick City and suburbs,5-12,at primary school,0
2011,Female,remote,Limerick City and suburbs,13-18,at secondary school,3
2011,Female,remote,Limerick City and suburbs,19-66,at university,13
2011,Female,remote,Galway City and suburbs,15-66,working,308
2011,Female,remote,Galway City and suburbs,5-12,at primary school,1
2011,Female,remote,Galway City and suburbs,13-18,at secondary school,2
2011,Female,remote,Galway City and suburbs,19-66,at university,10
2011,Female,remote,Waterford City and suburbs,15-66,working,132
2011,Female,remote,Waterford City and suburbs,5-12,at primary school,1
2011,Female,remote,Waterford City and suburbs,13-18,at secondary school,3
2011,Female,remote,Waterford City and suburbs,19-66,at university,5
2011,Female,remote,"Towns 10,000 population and over",15-66,working,2783
2011,Female,remote,"Towns 10,000 population and over",5-12,at primary school,21
2011,Female,remote,"Towns 10,000 population and over",13-18,at secondary school,17
2011,Female,remote,"Towns 10,000 population and over",19-66,at university,44
2011,Female,remote,"Towns 5,000 - 9,999 population",15-66,working,1162
2011,Female,remote,"Towns 5,000 - 9,999 population",5-12,at primary school,5
2011,Female,remote,"Towns 5,000 - 9,999 population",13-18,at secondary school,6
2011,Female,remote,"Towns 5,000 - 9,999 population",19-66,at university,17
2011,Female,remote,"Towns 2,000 - 4,999 population",15-66,working,1039
2011,Female,remote,"Towns 2,000 - 4,999 population",5-12,at primary school,7
2011,Female,remote,"Towns 2,000 - 4,999 population",13-18,at secondary school,6
2011,Female,remote,"Towns 2,000 - 4,999 population",19-66,at university,14
2011,Female,remote,"Towns 1,500 - 1,999 population",15-66,working,347
2011,Female,remote,"Towns 1,500 - 1,999 population",5-12,at primary school,2
2011,Female,remote,"Towns 1,500 - 1,999 population",13-18,at secondary school,0
2011,Female,remote,"Towns 1,500 - 1,999 population",19-66,at university,5
2011,Female,remote,"Towns 1,000 - 1,499 population",15-66,working,453
2011,Female,remote,"Towns 1,000 - 1,499 population",5-12,at primary school,2
2011,Female,remote,"Towns 1,000 - 1,499 population",13-18,at secondary school,0
2011,Female,remote,"Towns 1,000 - 1,499 population",19-66,at university,1
2011,Female,remote,Total Towns 500 - 999 population,15-66,working,780
2011,Female,remote,Total Towns 500 - 999 population,5-12,at primary school,2
2011,Female,remote,Total Towns 500 - 999 population,13-18,at secondary school,3
2011,Female,remote,Total Towns 500 - 999 population,19-66,at university,12
2011,Female,remote,Towns under 500 population but with at least 50 inhabited houses,15-66,working,713
2011,Female,remote,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,6
2011,Female,remote,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,4
2011,Female,remote,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,11
2011,Female,remote,Remainder of country,15-66,working,10985
2011,Female,remote,Remainder of country,5-12,at primary school,53
2011,Female,remote,Remainder of country,13-18,at secondary school,41
2011,Female,remote,Remainder of country,19-66,at university,106
2016,Male,walking,Dublin City and suburbs,15-66,working,29346
2016,Male,walking,Dublin City and suburbs,5-12,at primary school,23274
2016,Male,walking,Dublin City and suburbs,13-18,at secondary school,11644
2016,Male,walking,Dublin City and suburbs,19-66,at university,6023
2016,Male,walking,Cork City and suburbs,15-66,working,5141
2016,Male,walking,Cork City and suburbs,5-12,at primary school,2792
2016,Male,walking,Cork City and suburbs,13-18,at secondary school,1771
2016,Male,walking,Cork City and suburbs,19-66,at university,2397
2016,Male,walking,Limerick City and suburbs,15-66,working,2423
2016,Male,walking,Limerick City and suburbs,5-12,at primary school,1553
2016,Male,walking,Limerick City and suburbs,13-18,at secondary school,931
2016,Male,walking,Limerick City and suburbs,19-66,at university,1187
2016,Male,walking,Galway City and suburbs,15-66,working,2433
2016,Male,walking,Galway City and suburbs,5-12,at primary school,725
2016,Male,walking,Galway City and suburbs,13-18,at secondary school,434
2016,Male,walking,Galway City and suburbs,19-66,at university,1607
2016,Male,walking,Waterford City and suburbs,15-66,working,1210
2016,Male,walking,Waterford City and suburbs,5-12,at primary school,592
2016,Male,walking,Waterford City and suburbs,13-18,at secondary school,518
2016,Male,walking,Waterford City and suburbs,19-66,at university,513
2016,Male,walking,"Towns 10,000 population and over",15-66,working,14249
2016,Male,walking,"Towns 10,000 population and over",5-12,at primary school,13759
2016,Male,walking,"Towns 10,000 population and over",13-18,at secondary school,10189
2016,Male,walking,"Towns 10,000 population and over",19-66,at university,3812
2016,Male,walking,"Towns 5,000 - 9,999 population",15-66,working,4943
2016,Male,walking,"Towns 5,000 - 9,999 population",5-12,at primary school,5865
2016,Male,walking,"Towns 5,000 - 9,999 population",13-18,at secondary school,4604
2016,Male,walking,"Towns 5,000 - 9,999 population",19-66,at university,684
2016,Male,walking,"Towns 2,000 - 4,999 population",15-66,working,3905
2016,Male,walking,"Towns 2,000 - 4,999 population",5-12,at primary school,4698
2016,Male,walking,"Towns 2,000 - 4,999 population",13-18,at secondary school,3181
2016,Male,walking,"Towns 2,000 - 4,999 population",19-66,at university,551
2016,Male,walking,"Towns 1,500 - 1,999 population",15-66,working,1201
2016,Male,walking,"Towns 1,500 - 1,999 population",5-12,at primary school,1514
2016,Male,walking,"Towns 1,500 - 1,999 population",13-18,at secondary school,666
2016,Male,walking,"Towns 1,500 - 1,999 population",19-66,at university,188
2016,Male,walking,"Towns 1,000 - 1,499 population",15-66,working,1355
2016,Male,walking,"Towns 1,000 - 1,499 population",5-12,at primary school,1868
2016,Male,walking,"Towns 1,000 - 1,499 population",13-18,at secondary school,999
2016,Male,walking,"Towns 1,000 - 1,499 population",19-66,at university,214
2016,Male,walking,Total Towns 500 - 999 population,15-66,working,1501
2016,Male,walking,Total Towns 500 - 999 population,5-12,at primary school,2975
2016,Male,walking,Total Towns 500 - 999 population,13-18,at secondary school,747
2016,Male,walking,Total Towns 500 - 999 population,19-66,at university,324
2016,Male,walking,Towns under 500 population but with at least 50 inhabited houses,15-66,working,1263
2016,Male,walking,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,2298
2016,Male,walking,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,280
2016,Male,walking,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,305
2016,Male,walking,Remainder of country,15-66,working,10596
2016,Male,walking,Remainder of country,5-12,at primary school,2851
2016,Male,walking,Remainder of country,13-18,at secondary school,1650
2016,Male,walking,Remainder of country,19-66,at university,4679
2016,Male,bike,Dublin City and suburbs,15-66,working,27923
2016,Male,bike,Dublin City and suburbs,5-12,at primary school,2421
2016,Male,bike,Dublin City and suburbs,13-18,at secondary school,4356
2016,Male,bike,Dublin City and suburbs,19-66,at university,4397
2016,Male,bike,Cork City and suburbs,15-66,working,1685
2016,Male,bike,Cork City and suburbs,5-12,at primary school,68
2016,Male,bike,Cork City and suburbs,13-18,at secondary school,91
2016,Male,bike,Cork City and suburbs,19-66,at university,485
2016,Male,bike,Limerick City and suburbs,15-66,working,783
2016,Male,bike,Limerick City and suburbs,5-12,at primary school,54
2016,Male,bike,Limerick City and suburbs,13-18,at secondary school,147
2016,Male,bike,Limerick City and suburbs,19-66,at university,266
2016,Male,bike,Galway City and suburbs,15-66,working,1299
2016,Male,bike,Galway City and suburbs,5-12,at primary school,84
2016,Male,bike,Galway City and suburbs,13-18,at secondary school,147
2016,Male,bike,Galway City and suburbs,19-66,at university,437
2016,Male,bike,Waterford City and suburbs,15-66,working,337
2016,Male,bike,Waterford City and suburbs,5-12,at primary school,9
2016,Male,bike,Waterford City and suburbs,13-18,at secondary school,27
2016,Male,bike,Waterford City and suburbs,19-66,at university,60
2016,Male,bike,"Towns 10,000 population and over",15-66,working,4542
2016,Male,bike,"Towns 10,000 population and over",5-12,at primary school,912
2016,Male,bike,"Towns 10,000 population and over",13-18,at secondary school,1146
2016,Male,bike,"Towns 10,000 population and over",19-66,at university,541
2016,Male,bike,"Towns 5,000 - 9,999 population",15-66,working,1192
2016,Male,bike,"Towns 5,000 - 9,999 population",5-12,at primary school,395
2016,Male,bike,"Towns 5,000 - 9,999 population",13-18,at secondary school,244
2016,Male,bike,"Towns 5,000 - 9,999 population",19-66,at university,107
2016,Male,bike,"Towns 2,000 - 4,999 population",15-66,working,712
2016,Male,bike,"Towns 2,000 - 4,999 population",5-12,at primary school,163
2016,Male,bike,"Towns 2,000 - 4,999 population",13-18,at secondary school,77
2016,Male,bike,"Towns 2,000 - 4,999 population",19-66,at university,64
2016,Male,bike,"Towns 1,500 - 1,999 population",15-66,working,200
2016,Male,bike,"Towns 1,500 - 1,999 population",5-12,at primary school,59
2016,Male,bike,"Towns 1,500 - 1,999 population",13-18,at secondary school,13
2016,Male,bike,"Towns 1,500 - 1,999 population",19-66,at university,25
2016,Male,bike,"Towns 1,000 - 1,499 population",15-66,working,227
2016,Male,bike,"Towns 1,000 - 1,499 population",5-12,at primary school,75
2016,Male,bike,"Towns 1,000 - 1,499 population",13-18,at secondary school,45
2016,Male,bike,"Towns 1,000 - 1,499 population",19-66,at university,20
2016,Male,bike,Total Towns 500 - 999 population,15-66,working,215
2016,Male,bike,Total Towns 500 - 999 population,5-12,at primary school,99
2016,Male,bike,Total Towns 500 - 999 population,13-18,at secondary school,25
2016,Male,bike,Total Towns 500 - 999 population,19-66,at university,44
2016,Male,bike,Towns under 500 population but with at least 50 inhabited houses,15-66,working,198
2016,Male,bike,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,73
2016,Male,bike,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,13
2016,Male,bike,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,31
2016,Male,bike,Remainder of country,15-66,working,2028
2016,Male,bike,Remainder of country,5-12,at primary school,446
2016,Male,bike,Remainder of country,13-18,at secondary school,257
2016,Male,bike,Remainder of country,19-66,at university,846
2016,Male,bus,Dublin City and suburbs,15-66,working,30079
2016,Male,bus,Dublin City and suburbs,5-12,at primary school,3024
2016,Male,bus,Dublin City and suburbs,13-18,at secondary school,7984
2016,Male,bus,Dublin City and suburbs,19-66,at university,9224
2016,Male,bus,Cork City and suburbs,15-66,working,3162
2016,Male,bus,Cork City and suburbs,5-12,at primary school,348
2016,Male,bus,Cork City and suburbs,13-18,at secondary school,1045
2016,Male,bus,Cork City and suburbs,19-66,at university,1134
2016,Male,bus,Limerick City and suburbs,15-66,working,787
2016,Male,bus,Limerick City and suburbs,5-12,at primary school,213
2016,Male,bus,Limerick City and suburbs,13-18,at secondary school,497
2016,Male,bus,Limerick City and suburbs,19-66,at university,441
2016,Male,bus,Galway City and suburbs,15-66,working,1041
2016,Male,bus,Galway City and suburbs,5-12,at primary school,253
2016,Male,bus,Galway City and suburbs,13-18,at secondary school,548
2016,Male,bus,Galway City and suburbs,19-66,at university,352
2016,Male,bus,Waterford City and suburbs,15-66,working,221
2016,Male,bus,Waterford City and suburbs,5-12,at primary school,140
2016,Male,bus,Waterford City and suburbs,13-18,at secondary school,205
2016,Male,bus,Waterford City and suburbs,19-66,at university,117
2016,Male,bus,"Towns 10,000 population and over",15-66,working,7336
2016,Male,bus,"Towns 10,000 population and over",5-12,at primary school,4137
2016,Male,bus,"Towns 10,000 population and over",13-18,at secondary school,3921
2016,Male,bus,"Towns 10,000 population and over",19-66,at university,3522
2016,Male,bus,"Towns 5,000 - 9,999 population",15-66,working,1993
2016,Male,bus,"Towns 5,000 - 9,999 population",5-12,at primary school,1598
2016,Male,bus,"Towns 5,000 - 9,999 population",13-18,at secondary school,1431
2016,Male,bus,"Towns 5,000 - 9,999 population",19-66,at university,1302
2016,Male,bus,"Towns 2,000 - 4,999 population",15-66,working,1125
2016,Male,bus,"Towns 2,000 - 4,999 population",5-12,at primary school,1122
2016,Male,bus,"Towns 2,000 - 4,999 population",13-18,at secondary school,1555
2016,Male,bus,"Towns 2,000 - 4,999 population",19-66,at university,748
2016,Male,bus,"Towns 1,500 - 1,999 population",15-66,working,230
2016,Male,bus,"Towns 1,500 - 1,999 population",5-12,at primary school,263
2016,Male,bus,"Towns 1,500 - 1,999 population",13-18,at secondary school,796
2016,Male,bus,"Towns 1,500 - 1,999 population",19-66,at university,209
2016,Male,bus,"Towns 1,000 - 1,499 population",15-66,working,320
2016,Male,bus,"Towns 1,000 - 1,499 population",5-12,at primary school,349
2016,Male,bus,"Towns 1,000 - 1,499 population",13-18,at secondary school,1213
2016,Male,bus,"Towns 1,000 - 1,499 population",19-66,at university,254
2016,Male,bus,Total Towns 500 - 999 population,15-66,working,371
2016,Male,bus,Total Towns 500 - 999 population,5-12,at primary school,575
2016,Male,bus,Total Towns 500 - 999 population,13-18,at secondary school,2403
2016,Male,bus,Total Towns 500 - 999 population,19-66,at university,367
2016,Male,bus,Towns under 500 population but with at least 50 inhabited houses,15-66,working,271
2016,Male,bus,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,716
2016,Male,bus,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,2496
2016,Male,bus,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,290
2016,Male,bus,Remainder of country,15-66,working,2852
2016,Male,bus,Remainder of country,5-12,at primary school,16672
2016,Male,bus,Remainder of country,13-18,at secondary school,25840
2016,Male,bus,Remainder of country,19-66,at university,3481
2016,Male,train,Dublin City and suburbs,15-66,working,20512
2016,Male,train,Dublin City and suburbs,5-12,at primary school,320
2016,Male,train,Dublin City and suburbs,13-18,at secondary school,1907
2016,Male,train,Dublin City and suburbs,19-66,at university,3299
2016,Male,train,Cork City and suburbs,15-66,working,193
2016,Male,train,Cork City and suburbs,5-12,at primary school,2
2016,Male,train,Cork City and suburbs,13-18,at secondary school,36
2016,Male,train,Cork City and suburbs,19-66,at university,35
2016,Male,train,Limerick City and suburbs,15-66,working,39
2016,Male,train,Limerick City and suburbs,5-12,at primary school,0
2016,Male,train,Limerick City and suburbs,13-18,at secondary school,1
2016,Male,train,Limerick City and suburbs,19-66,at university,19
2016,Male,train,Galway City and suburbs,15-66,working,31
2016,Male,train,Galway City and suburbs,5-12,at primary school,0
2016,Male,train,Galway City and suburbs,13-18,at secondary school,3
2016,Male,train,Galway City and suburbs,19-66,at university,13
2016,Male,train,Waterford City and suburbs,15-66,working,30
2016,Male,train,Waterford City and suburbs,5-12,at primary school,0
2016,Male,train,Waterford City and suburbs,13-18,at secondary school,0
2016,Male,train,Waterford City and suburbs,19-66,at university,12
2016,Male,train,"Towns 10,000 population and over",15-66,working,6322
2016,Male,train,"Towns 10,000 population and over",5-12,at primary school,26
2016,Male,train,"Towns 10,000 population and over",13-18,at secondary school,496
2016,Male,train,"Towns 10,000 population and over",19-66,at university,1522
2016,Male,train,"Towns 5,000 - 9,999 population",15-66,working,2224
2016,Male,train,"Towns 5,000 - 9,999 population",5-12,at primary school,16
2016,Male,train,"Towns 5,000 - 9,999 population",13-18,at secondary school,169
2016,Male,train,"Towns 5,000 - 9,999 population",19-66,at university,438
2016,Male,train,"Towns 2,000 - 4,999 population",15-66,working,584
2016,Male,train,"Towns 2,000 - 4,999 population",5-12,at primary school,4
2016,Male,train,"Towns 2,000 - 4,999 population",13-18,at secondary school,43
2016,Male,train,"Towns 2,000 - 4,999 population",19-66,at university,149
2016,Male,train,"Towns 1,500 - 1,999 population",15-66,working,106
2016,Male,train,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2016,Male,train,"Towns 1,500 - 1,999 population",13-18,at secondary school,7
2016,Male,train,"Towns 1,500 - 1,999 population",19-66,at university,47
2016,Male,train,"Towns 1,000 - 1,499 population",15-66,working,119
2016,Male,train,"Towns 1,000 - 1,499 population",5-12,at primary school,2
2016,Male,train,"Towns 1,000 - 1,499 population",13-18,at secondary school,10
2016,Male,train,"Towns 1,000 - 1,499 population",19-66,at university,41
2016,Male,train,Total Towns 500 - 999 population,15-66,working,209
2016,Male,train,Total Towns 500 - 999 population,5-12,at primary school,0
2016,Male,train,Total Towns 500 - 999 population,13-18,at secondary school,20
2016,Male,train,Total Towns 500 - 999 population,19-66,at university,58
2016,Male,train,Towns under 500 population but with at least 50 inhabited houses,15-66,working,149
2016,Male,train,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,0
2016,Male,train,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,15
2016,Male,train,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,60
2016,Male,train,Remainder of country,15-66,working,1789
2016,Male,train,Remainder of country,5-12,at primary school,13
2016,Male,train,Remainder of country,13-18,at secondary school,226
2016,Male,train,Remainder of country,19-66,at university,810
2016,Male,motorbike,Dublin City and suburbs,15-66,working,3442
2016,Male,motorbike,Dublin City and suburbs,5-12,at primary school,0
2016,Male,motorbike,Dublin City and suburbs,13-18,at secondary school,20
2016,Male,motorbike,Dublin City and suburbs,19-66,at university,144
2016,Male,motorbike,Cork City and suburbs,15-66,working,338
2016,Male,motorbike,Cork City and suburbs,5-12,at primary school,0
2016,Male,motorbike,Cork City and suburbs,13-18,at secondary school,8
2016,Male,motorbike,Cork City and suburbs,19-66,at university,37
2016,Male,motorbike,Limerick City and suburbs,15-66,working,88
2016,Male,motorbike,Limerick City and suburbs,5-12,at primary school,0
2016,Male,motorbike,Limerick City and suburbs,13-18,at secondary school,2
2016,Male,motorbike,Limerick City and suburbs,19-66,at university,8
2016,Male,motorbike,Galway City and suburbs,15-66,working,96
2016,Male,motorbike,Galway City and suburbs,5-12,at primary school,0
2016,Male,motorbike,Galway City and suburbs,13-18,at secondary school,5
2016,Male,motorbike,Galway City and suburbs,19-66,at university,5
2016,Male,motorbike,Waterford City and suburbs,15-66,working,68
2016,Male,motorbike,Waterford City and suburbs,5-12,at primary school,0
2016,Male,motorbike,Waterford City and suburbs,13-18,at secondary school,0
2016,Male,motorbike,Waterford City and suburbs,19-66,at university,9
2016,Male,motorbike,"Towns 10,000 population and over",15-66,working,933
2016,Male,motorbike,"Towns 10,000 population and over",5-12,at primary school,0
2016,Male,motorbike,"Towns 10,000 population and over",13-18,at secondary school,8
