"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town Size","At Work School or College","UNIT","VALUE"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Total Towns 500 - 999 population","All persons","Number","531"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","368"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","46"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","117"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","437"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","262"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","32"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","143"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Remainder of country","All persons","Number","5761"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Remainder of country","Population aged 15 years and over at work","Number","3402"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Remainder of country","Children at school aged between 5 and 12 years","Number","22"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Remainder of country","Students at school or college aged between 13 and 18 years","Number","469"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Train, DART or LUAS","Remainder of country","Students at school or college aged 19 years and over","Number","1868"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","State","All persons","Number","8565"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","State","Population aged 15 years and over at work","Number","7990"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","State","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","State","Students at school or college aged between 13 and 18 years","Number","160"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","State","Students at school or college aged 19 years and over","Number","415"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Dublin City and suburbs","All persons","Number","4125"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Dublin City and suburbs","Population aged 15 years and over at work","Number","3928"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","24"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","173"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Cork City and suburbs","All persons","Number","444"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Cork City and suburbs","Population aged 15 years and over at work","Number","387"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","12"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Cork City and suburbs","Students at school or college aged 19 years and over","Number","45"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Limerick City and suburbs","All persons","Number","124"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Limerick City and suburbs","Population aged 15 years and over at work","Number","111"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","2"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","11"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Galway City and suburbs","All persons","Number","127"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Galway City and suburbs","Population aged 15 years and over at work","Number","114"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","8"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Galway City and suburbs","Students at school or college aged 19 years and over","Number","5"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Waterford City and suburbs","All persons","Number","90"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Waterford City and suburbs","Population aged 15 years and over at work","Number","78"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","11"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 10,000 population and over","All persons","Number","1195"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 10,000 population and over","Population aged 15 years and over at work","Number","1112"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","23"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","60"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 5,000 - 9,999 population","All persons","Number","413"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","401"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","4"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","8"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 2,000 - 4,999 population","All persons","Number","283"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","267"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","10"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","6"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,500 - 1,999 population","All persons","Number","78"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","76"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","2"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,000 - 1,499 population","All persons","Number","95"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","88"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","6"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Total Towns 500 - 999 population","All persons","Number","137"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","126"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","5"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","6"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","106"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","99"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","4"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Remainder of country","All persons","Number","1348"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Remainder of country","Population aged 15 years and over at work","Number","1203"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Remainder of country","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Remainder of country","Students at school or college aged between 13 and 18 years","Number","67"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motorcycle or scooter","Remainder of country","Students at school or college aged 19 years and over","Number","78"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","All persons","Number","1202441"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Population aged 15 years and over at work","Number","1152631"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Students at school or college aged between 13 and 18 years","Number","5039"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","State","Students at school or college aged 19 years and over","Number","44771"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Dublin City and suburbs","All persons","Number","236574"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Dublin City and suburbs","Population aged 15 years and over at work","Number","228622"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","522"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","7430"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Cork City and suburbs","All persons","Number","54200"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Cork City and suburbs","Population aged 15 years and over at work","Number","51808"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","160"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Cork City and suburbs","Students at school or college aged 19 years and over","Number","2232"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Limerick City and suburbs","All persons","Number","22367"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Limerick City and suburbs","Population aged 15 years and over at work","Number","20918"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","66"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","1383"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Galway City and suburbs","All persons","Number","19128"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Galway City and suburbs","Population aged 15 years and over at work","Number","18282"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","21"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Galway City and suburbs","Students at school or college aged 19 years and over","Number","825"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Waterford City and suburbs","All persons","Number","13238"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Waterford City and suburbs","Population aged 15 years and over at work","Number","12594"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","49"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","595"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 10,000 population and over","All persons","Number","197903"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 10,000 population and over","Population aged 15 years and over at work","Number","191216"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","506"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","6181"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 5,000 - 9,999 population","All persons","Number","77619"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","75030"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","250"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","2339"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 2,000 - 4,999 population","All persons","Number","61013"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","58923"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","181"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","1909"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,500 - 1,999 population","All persons","Number","18998"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","18286"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","64"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","648"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,000 - 1,499 population","All persons","Number","24847"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","23898"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","66"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","883"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Total Towns 500 - 999 population","All persons","Number","35752"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","34422"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","121"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","1209"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","31560"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","30182"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","154"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","1224"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Remainder of country","All persons","Number","409242"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Remainder of country","Population aged 15 years and over at work","Number","388450"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Remainder of country","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Remainder of country","Students at school or college aged between 13 and 18 years","Number","2879"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Remainder of country","Students at school or college aged 19 years and over","Number","17913"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","State","All persons","Number","570254"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","State","Population aged 15 years and over at work","Number","77335"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","State","Children at school aged between 5 and 12 years","Number","327039"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","State","Students at school or college aged between 13 and 18 years","Number","146755"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","State","Students at school or college aged 19 years and over","Number","19125"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Dublin City and suburbs","All persons","Number","86814"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Dublin City and suburbs","Population aged 15 years and over at work","Number","14020"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","50771"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","19978"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","2045"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Cork City and suburbs","All persons","Number","25902"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Cork City and suburbs","Population aged 15 years and over at work","Number","4485"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","12180"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","7363"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Cork City and suburbs","Students at school or college aged 19 years and over","Number","1874"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Limerick City and suburbs","All persons","Number","10753"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Limerick City and suburbs","Population aged 15 years and over at work","Number","2040"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","5212"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","2826"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","675"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Galway City and suburbs","All persons","Number","8638"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Galway City and suburbs","Population aged 15 years and over at work","Number","1703"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","4375"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","2094"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Galway City and suburbs","Students at school or college aged 19 years and over","Number","466"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Waterford City and suburbs","All persons","Number","7976"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Waterford City and suburbs","Population aged 15 years and over at work","Number","1542"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","3965"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","2117"
