"Statistic","CensusYear","Sex","Means of Travel","At Work School or College","UNIT","VALUE"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","16897"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","262"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2132"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","3800"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motorcycle or scooter","All persons","Number","17548"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","15122"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1205"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","1221"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Driver","All persons","Number","510035"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Driver","Population aged 15 years and over at work","Number","500004"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","1388"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","8643"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Passenger","All persons","Number","211324"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","52705"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","110882"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","42001"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","5736"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Other means (incl. lorry or van)","All persons","Number","113935"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","111891"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1049"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","599"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","396"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Work mainly at or from home","All persons","Number","79860"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Work mainly at or from home","Population aged 15 years and over at work","Number","72712"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","3489"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","2595"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Work mainly at or from home","Students at school or college aged 19 years and over","Number","1064"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Not stated","All persons","Number","27360"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Not stated","Population aged 15 years and over at work","Number","17717"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Not stated","Children at school aged between 5 and 12 years","Number","6421"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","2148"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","Not stated","Students at school or college aged 19 years and over","Number","1074"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","All means of travel","All persons","Number","1388975"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","All means of travel","Population aged 15 years and over at work","Number","945036"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","All means of travel","Children at school aged between 5 and 12 years","Number","221903"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","159806"
"Population Usually Resident in the State at Each Census Since 1986","2002","Male","All means of travel","Students at school or college aged 19 years and over","Number","62230"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","On foot","All persons","Number","224112"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","On foot","Population aged 15 years and over at work","Number","100569"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","On foot","Children at school aged between 5 and 12 years","Number","54941"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","On foot","Students at school or college aged between 13 and 18 years","Number","42367"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","On foot","Students at school or college aged 19 years and over","Number","26235"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bicycle","All persons","Number","12191"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bicycle","Population aged 15 years and over at work","Number","7827"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bicycle","Children at school aged between 5 and 12 years","Number","1188"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","1046"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bicycle","Students at school or college aged 19 years and over","Number","2130"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bus, minibus or coach","All persons","Number","180499"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","59029"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","37403"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","63138"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","20929"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Train, DART or LUAS","All persons","Number","22885"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","16169"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","207"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2215"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","4294"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motorcycle or scooter","All persons","Number","2702"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","2207"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","167"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","328"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Driver","All persons","Number","399787"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Driver","Population aged 15 years and over at work","Number","387164"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","1176"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","11447"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Passenger","All persons","Number","216638"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","55677"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","106426"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","47467"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","7068"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Other means (incl. lorry or van)","All persons","Number","4865"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","3277"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","953"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","466"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","169"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Work mainly at or from home","All persons","Number","30961"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Work mainly at or from home","Population aged 15 years and over at work","Number","24855"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","3136"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","1864"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Work mainly at or from home","Students at school or college aged 19 years and over","Number","1106"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Not stated","All persons","Number","18020"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Not stated","Population aged 15 years and over at work","Number","9071"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Not stated","Children at school aged between 5 and 12 years","Number","6060"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","1886"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","Not stated","Students at school or college aged 19 years and over","Number","1003"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","All means of travel","All persons","Number","1112660"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","All means of travel","Population aged 15 years and over at work","Number","665845"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","All means of travel","Children at school aged between 5 and 12 years","Number","210314"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","161792"
"Population Usually Resident in the State at Each Census Since 1986","2002","Female","All means of travel","Students at school or college aged 19 years and over","Number","74709"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","On foot","All persons","Number","433110"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","On foot","Population aged 15 years and over at work","Number","205688"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","109053"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","74346"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","On foot","Students at school or college aged 19 years and over","Number","44023"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bicycle","All persons","Number","53960"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bicycle","Population aged 15 years and over at work","Number","36306"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","4087"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","7377"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","6190"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bus, minibus or coach","All persons","Number","326949"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","114956"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","67350"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","108400"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","36243"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Train, DART or LUAS","All persons","Number","71658"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","54942"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","594"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","5348"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","10774"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motorcycle or scooter","All persons","Number","14338"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","13049"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","487"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","802"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Driver","All persons","Number","1118312"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","1080446"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","5131"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","32735"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Passenger","All persons","Number","459497"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","104861"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","246802"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","95905"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","11929"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Other means (incl. lorry or van)","All persons","Number","149928"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","147035"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1454"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","842"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","597"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Work mainly at or from home","All persons","Number","119918"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Work mainly at or from home","Population aged 15 years and over at work","Number","105706"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","8222"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","3572"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Work mainly at or from home","Students at school or college aged 19 years and over","Number","2418"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Not stated","All persons","Number","46555"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Not stated","Population aged 15 years and over at work","Number","29798"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","10805"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","3155"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","2797"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","All means of travel","All persons","Number","2794225"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","All means of travel","Population aged 15 years and over at work","Number","1892787"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","448367"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","304563"
"Population Usually Resident in the State at Each Census Since 1986","2006","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","148508"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","On foot","All persons","Number","205881"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","On foot","Population aged 15 years and over at work","Number","94567"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","On foot","Children at school aged between 5 and 12 years","Number","55799"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","On foot","Students at school or college aged between 13 and 18 years","Number","36416"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","On foot","Students at school or college aged 19 years and over","Number","19099"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bicycle","All persons","Number","42407"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bicycle","Population aged 15 years and over at work","Number","27948"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bicycle","Children at school aged between 5 and 12 years","Number","3043"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","6856"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bicycle","Students at school or college aged 19 years and over","Number","4560"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bus, minibus or coach","All persons","Number","157556"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","54271"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","34413"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","52639"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","16233"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Train, DART or LUAS","All persons","Number","36051"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","28049"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","328"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2673"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","5001"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motorcycle or scooter","All persons","Number","12270"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","11225"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","399"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","646"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Driver","All persons","Number","595950"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Driver","Population aged 15 years and over at work","Number","580034"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","2668"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","13248"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Passenger","All persons","Number","231749"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","55033"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","125866"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","45750"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","5100"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Other means (incl. lorry or van)","All persons","Number","145234"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","143533"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","797"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","483"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","421"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Work mainly at or from home","All persons","Number","76774"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Work mainly at or from home","Population aged 15 years and over at work","Number","69261"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","4394"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","2020"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Work mainly at or from home","Students at school or college aged 19 years and over","Number","1099"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Not stated","All persons","Number","28946"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Not stated","Population aged 15 years and over at work","Number","20176"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Not stated","Children at school aged between 5 and 12 years","Number","5606"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","1668"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","Not stated","Students at school or college aged 19 years and over","Number","1496"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","All means of travel","All persons","Number","1532818"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","All means of travel","Population aged 15 years and over at work","Number","1084097"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","All means of travel","Children at school aged between 5 and 12 years","Number","230246"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","151572"
"Population Usually Resident in the State at Each Census Since 1986","2006","Male","All means of travel","Students at school or college aged 19 years and over","Number","66903"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","On foot","All persons","Number","227229"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","On foot","Population aged 15 years and over at work","Number","111121"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","On foot","Children at school aged between 5 and 12 years","Number","53254"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","On foot","Students at school or college aged between 13 and 18 years","Number","37930"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","On foot","Students at school or college aged 19 years and over","Number","24924"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bicycle","All persons","Number","11553"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bicycle","Population aged 15 years and over at work","Number","8358"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bicycle","Children at school aged between 5 and 12 years","Number","1044"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","521"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bicycle","Students at school or college aged 19 years and over","Number","1630"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bus, minibus or coach","All persons","Number","169393"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","60685"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","32937"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","55761"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","20010"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Train, DART or LUAS","All persons","Number","35607"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","26893"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","266"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2675"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","5773"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motorcycle or scooter","All persons","Number","2068"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","1824"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","88"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","156"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motor car: Driver","All persons","Number","522362"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motor car: Driver","Population aged 15 years and over at work","Number","500412"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","2463"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","19487"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motor car: Passenger","All persons","Number","227748"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","49828"
"Population Usually Resident in the State at Each Census Since 1986","2006","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","120936"
