"Statistic","CensusYear","Sex","County of Usual Residence","Travelling Time","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","½ hour - < ¾ hour","All persons","Number","4036"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","2970"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","142"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","302"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","622"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","¾ hour - < 1 hour","All persons","Number","625"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","457"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","34"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","118"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1 hour - < 1½ hours","All persons","Number","388"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","280"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","23"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","77"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1½ hours and over","All persons","Number","156"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1½ hours and over","Population aged 15 years and over at work","Number","125"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1½ hours and over","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","1½ hours and over","Students at school or college aged 19 years and over","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","Not stated","All persons","Number","1905"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","Not stated","Population aged 15 years and over at work","Number","1232"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","Not stated","Children at school aged between 5 and 12 years","Number","332"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","Not stated","Students at school or college aged between 13 and 18 years","Number","169"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork City","Not stated","Students at school or college aged 19 years and over","Number","172"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Total time travelling","All persons","Number","116679"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Total time travelling","Population aged 15 years and over at work","Number","71585"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Total time travelling","Children at school aged between 5 and 12 years","Number","22778"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Total time travelling","Students at school or college aged between 13 and 18 years","Number","14723"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Total time travelling","Students at school or college aged 19 years and over","Number","7593"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","< ¼ hour","All persons","Number","41724"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","< ¼ hour","Population aged 15 years and over at work","Number","18967"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","< ¼ hour","Children at school aged between 5 and 12 years","Number","15549"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","5616"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","< ¼ hour","Students at school or college aged 19 years and over","Number","1592"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¼ hour - < ½ hour","All persons","Number","36737"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","24131"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","4843"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","5605"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","2158"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","½ hour - < ¾ hour","All persons","Number","21281"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","15923"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","1141"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","2376"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","1841"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¾ hour - < 1 hour","All persons","Number","6708"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","5352"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","188"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","431"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","737"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1 hour - < 1½ hours","All persons","Number","4045"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","3036"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","71"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","230"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","708"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1½ hours and over","All persons","Number","928"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1½ hours and over","Population aged 15 years and over at work","Number","646"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1½ hours and over","Children at school aged between 5 and 12 years","Number","28"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","42"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","1½ hours and over","Students at school or college aged 19 years and over","Number","212"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Not stated","All persons","Number","5256"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Not stated","Population aged 15 years and over at work","Number","3530"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Not stated","Children at school aged between 5 and 12 years","Number","958"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Not stated","Students at school or college aged between 13 and 18 years","Number","423"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Cork County","Not stated","Students at school or college aged 19 years and over","Number","345"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Total time travelling","All persons","Number","39315"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Total time travelling","Population aged 15 years and over at work","Number","23819"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Total time travelling","Children at school aged between 5 and 12 years","Number","7398"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Total time travelling","Students at school or college aged between 13 and 18 years","Number","5328"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Total time travelling","Students at school or college aged 19 years and over","Number","2770"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","< ¼ hour","All persons","Number","17510"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","< ¼ hour","Population aged 15 years and over at work","Number","9082"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","< ¼ hour","Children at school aged between 5 and 12 years","Number","5214"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","2278"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","< ¼ hour","Students at school or college aged 19 years and over","Number","936"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¼ hour - < ½ hour","All persons","Number","12026"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","7770"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1537"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","1894"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","825"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","½ hour - < ¾ hour","All persons","Number","5280"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","3779"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","269"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","733"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","499"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¾ hour - < 1 hour","All persons","Number","1140"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","878"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","29"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","127"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","106"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1 hour - < 1½ hours","All persons","Number","811"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","606"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","15"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","62"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","128"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1½ hours and over","All persons","Number","441"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1½ hours and over","Population aged 15 years and over at work","Number","279"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1½ hours and over","Children at school aged between 5 and 12 years","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","1½ hours and over","Students at school or college aged 19 years and over","Number","130"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Not stated","All persons","Number","2107"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Not stated","Population aged 15 years and over at work","Number","1425"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Not stated","Children at school aged between 5 and 12 years","Number","324"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Not stated","Students at school or college aged between 13 and 18 years","Number","212"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Kerry","Not stated","Students at school or college aged 19 years and over","Number","146"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Total time travelling","All persons","Number","52660"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Total time travelling","Population aged 15 years and over at work","Number","31640"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Total time travelling","Children at school aged between 5 and 12 years","Number","9729"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Total time travelling","Students at school or college aged between 13 and 18 years","Number","6565"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Total time travelling","Students at school or college aged 19 years and over","Number","4726"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","< ¼ hour","All persons","Number","19773"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","< ¼ hour","Population aged 15 years and over at work","Number","9081"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","< ¼ hour","Children at school aged between 5 and 12 years","Number","6678"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","2526"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","< ¼ hour","Students at school or college aged 19 years and over","Number","1488"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¼ hour - < ½ hour","All persons","Number","18498"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","12096"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","2094"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","2571"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","1737"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","½ hour - < ¾ hour","All persons","Number","8174"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","6023"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","359"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","989"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","803"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¾ hour - < 1 hour","All persons","Number","2012"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","1604"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","45"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","139"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","224"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1 hour - < 1½ hours","All persons","Number","1114"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","864"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","72"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","162"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1½ hours and over","All persons","Number","359"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1½ hours and over","Population aged 15 years and over at work","Number","266"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1½ hours and over","Children at school aged between 5 and 12 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","1½ hours and over","Students at school or college aged 19 years and over","Number","67"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Not stated","All persons","Number","2730"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Not stated","Population aged 15 years and over at work","Number","1706"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Not stated","Children at school aged between 5 and 12 years","Number","529"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Not stated","Students at school or college aged between 13 and 18 years","Number","250"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Limerick City and County","Not stated","Students at school or college aged 19 years and over","Number","245"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Total time travelling","All persons","Number","44022"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Total time travelling","Population aged 15 years and over at work","Number","26336"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Total time travelling","Children at school aged between 5 and 12 years","Number","8763"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Total time travelling","Students at school or college aged between 13 and 18 years","Number","5982"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Total time travelling","Students at school or college aged 19 years and over","Number","2941"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","< ¼ hour","All persons","Number","19520"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","< ¼ hour","Population aged 15 years and over at work","Number","9616"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","< ¼ hour","Children at school aged between 5 and 12 years","Number","6369"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","2586"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","< ¼ hour","Students at school or college aged 19 years and over","Number","949"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¼ hour - < ½ hour","All persons","Number","12582"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","8039"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1660"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","2078"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","805"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","½ hour - < ¾ hour","All persons","Number","5847"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","4333"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","248"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","836"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","430"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¾ hour - < 1 hour","All persons","Number","1908"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","1490"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","31"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","162"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","225"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1 hour - < 1½ hours","All persons","Number","1376"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","972"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","98"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","282"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1½ hours and over","All persons","Number","505"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1½ hours and over","Population aged 15 years and over at work","Number","372"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1½ hours and over","Children at school aged between 5 and 12 years","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","15"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","1½ hours and over","Students at school or college aged 19 years and over","Number","112"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Not stated","All persons","Number","2284"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Not stated","Population aged 15 years and over at work","Number","1514"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Not stated","Children at school aged between 5 and 12 years","Number","425"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Not stated","Students at school or college aged between 13 and 18 years","Number","207"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Tipperary","Not stated","Students at school or college aged 19 years and over","Number","138"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Total time travelling","All persons","Number","31857"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Total time travelling","Population aged 15 years and over at work","Number","19045"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Total time travelling","Children at school aged between 5 and 12 years","Number","6247"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Total time travelling","Students at school or college aged between 13 and 18 years","Number","4041"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Total time travelling","Students at school or college aged 19 years and over","Number","2524"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","< ¼ hour","All persons","Number","13945"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","< ¼ hour","Population aged 15 years and over at work","Number","7097"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","< ¼ hour","Children at school aged between 5 and 12 years","Number","4157"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","1816"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","< ¼ hour","Students at school or college aged 19 years and over","Number","875"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¼ hour - < ½ hour","All persons","Number","11012"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","7090"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1488"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","1525"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","909"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","½ hour - < ¾ hour","All persons","Number","3449"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","2428"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","230"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","444"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","347"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¾ hour - < 1 hour","All persons","Number","947"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","755"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","68"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","103"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1 hour - < 1½ hours","All persons","Number","708"
